"","common_name","year","seasonal_change"
"310","Brown Thrasher",2012,0.152812411118294
"311","Brown Thrasher",2013,-0.264832288035583
"312","Brown Thrasher",2014,0.00471832577991604
"313","Brown Thrasher",2015,0.0522979989726111
"314","Brown Thrasher",2016,0.111478715649828
"315","Brown Thrasher",2017,-0.331876479846026
"316","Brown Thrasher",2018,0.150282989009372
"317","Brown Thrasher",2019,0.0681614917565629
"318","Brown Thrasher",2020,-0.179946970481616
"319","Brown Thrasher",2021,-0.215008349389852
"320","Brown Thrasher",2022,0.128143581445523
"321","Brown Thrasher",2023,-0.00773513982224194
"322","Brown Thrasher",2024,-0.560434443622355
"324","Brown-headed Cowbird",1999,0.82277573606463
"325","Brown-headed Cowbird",2000,1.75771072191552
"326","Brown-headed Cowbird",2001,-0.28599446097656
"327","Brown-headed Cowbird",2002,2.17467055102236
"328","Brown-headed Cowbird",2003,2.19798998557591
"329","Brown-headed Cowbird",2004,1.65014381404043
"330","Brown-headed Cowbird",2005,0.19807944962273
"331","Brown-headed Cowbird",2006,2.0091991216513
"332","Brown-headed Cowbird",2007,2.08448165731766
"333","Brown-headed Cowbird",2008,1.82381856049775
"334","Brown-headed Cowbird",2009,0.79404105331288
"335","Brown-headed Cowbird",2010,1.15721792114696
"336","Brown-headed Cowbird",2011,2.17895357823352
"337","Brown-headed Cowbird",2012,2.33328235772232
"338","Brown-headed Cowbird",2013,2.03992189250652
"339","Brown-headed Cowbird",2014,1.53490030682478
"340","Brown-headed Cowbird",2015,1.1640072577401
"341","Brown-headed Cowbird",2016,1.15577253489656
"342","Brown-headed Cowbird",2017,-10.5799668624595
"343","Brown-headed Cowbird",2018,0.72429180134764
"344","Brown-headed Cowbird",2019,2.5806576255235
"345","Brown-headed Cowbird",2020,1.94257582534611
"346","Brown-headed Cowbird",2021,0.55693097731239
"347","Brown-headed Cowbird",2022,1.11131169181427
"348","Brown-headed Cowbird",2023,1.86734432349387
"349","Brown-headed Cowbird",2024,0.13797601564443
"351","Brown-headed Nuthatch",1999,-0.662589290436316
"352","Brown-headed Nuthatch",2000,-0.685835217830116
"353","Brown-headed Nuthatch",2001,-0.9271340731027
"354","Brown-headed Nuthatch",2002,-1.16522119372787
"355","Brown-headed Nuthatch",2003,-0.05945458674723
"356","Brown-headed Nuthatch",2004,-0.91205583246677
"357","Brown-headed Nuthatch",2005,-1.0194390878471
"358","Brown-headed Nuthatch",2006,-2.23375928828676
"359","Brown-headed Nuthatch",2007,-0.627694283649964
"360","Brown-headed Nuthatch",2008,-1.55002444314624
"361","Brown-headed Nuthatch",2009,-1.87054528974466
"362","Brown-headed Nuthatch",2010,-1.50644048214302
"363","Brown-headed Nuthatch",2011,-2.34630477660669
"364","Brown-headed Nuthatch",2012,-1.27010219834068
"365","Brown-headed Nuthatch",2013,-1.30579708788501
"366","Brown-headed Nuthatch",2014,-1.26042727272727
"367","Brown-headed Nuthatch",2015,-1.26807932643494
"368","Brown-headed Nuthatch",2016,-0.93880787704591
"369","Brown-headed Nuthatch",2017,-1.02923825370165
"370","Brown-headed Nuthatch",2018,-1.83317473747825
"371","Brown-headed Nuthatch",2019,-1.24631772731663
"372","Brown-headed Nuthatch",2020,-2.24407532467532
"373","Brown-headed Nuthatch",2021,-0.9158106729338
"374","Brown-headed Nuthatch",2022,-2.2661507006957
"375","Brown-headed Nuthatch",2023,-1.95853079687894
"376","Brown-headed Nuthatch",2024,-1.93626943450362
"378","Carolina Chickadee",1999,-4.44675685206125
"379","Carolina Chickadee",2000,-3.07013161624676
"380","Carolina Chickadee",2001,-2.8796220385675
"381","Carolina Chickadee",2002,-3.08447605741749
"382","Carolina Chickadee",2003,-3.13323455063595
"383","Carolina Chickadee",2004,-5.67944205816252
"384","Carolina Chickadee",2005,-6.39884150688022
"385","Carolina Chickadee",2006,-3.80000035044129
"386","Carolina Chickadee",2007,-4.26550520178901
"387","Carolina Chickadee",2008,-6.20178031671293
"388","Carolina Chickadee",2009,-5.11347259463565
"389","Carolina Chickadee",2010,-5.00741429033157
"390","Carolina Chickadee",2011,-8.21389694902942
"391","Carolina Chickadee",2012,-5.12144312874947
"392","Carolina Chickadee",2013,-8.52569567014505
"393","Carolina Chickadee",2014,-6.674018877252
"394","Carolina Chickadee",2015,-4.51207831435308
"395","Carolina Chickadee",2016,-5.89711181684774
"396","Carolina Chickadee",2017,-4.8350781437727
"397","Carolina Chickadee",2018,-5.93375619636062
"398","Carolina Chickadee",2019,-5.73561165460814
"399","Carolina Chickadee",2020,-6.64489129304743
"400","Carolina Chickadee",2021,-6.07214600652734
"401","Carolina Chickadee",2022,-4.43464060176655
"402","Carolina Chickadee",2023,-4.19813320578153
"403","Carolina Chickadee",2024,-5.95302569275306
"405","Carolina Wren",1999,-2.66728100228009
"406","Carolina Wren",2000,0.83788359727409
"407","Carolina Wren",2001,-0.72965566308785
"408","Carolina Wren",2002,-0.87668019380821
"409","Carolina Wren",2003,0.224369792157431
"410","Carolina Wren",2004,-3.58801568431569
"411","Carolina Wren",2005,-1.13112720935453
"412","Carolina Wren",2006,-3.07841576620611
"413","Carolina Wren",2007,-0.079668210505
"414","Carolina Wren",2008,-2.49624650970674
"415","Carolina Wren",2009,-2.35643966583241
"416","Carolina Wren",2010,-0.65567528650162
"417","Carolina Wren",2011,-2.79314719892775
"418","Carolina Wren",2012,-2.32055615279185
"419","Carolina Wren",2013,-5.21017557156279
"420","Carolina Wren",2014,-2.42306902816999
"421","Carolina Wren",2015,-3.20566890299624
"422","Carolina Wren",2016,-3.01145710678182
"423","Carolina Wren",2017,-1.3989957292404
"424","Carolina Wren",2018,-3.77577611381074
"425","Carolina Wren",2019,-4.05247822198565
"426","Carolina Wren",2020,-5.62358167379352
"427","Carolina Wren",2021,-1.44368652155873
"428","Carolina Wren",2022,-1.52463189187236
"429","Carolina Wren",2023,-1.05159826037618
"430","Carolina Wren",2024,-0.36124910394265
"432","Cedar Waxwing",1999,-18.4072762589359
"433","Cedar Waxwing",2000,-16.8797114347357
"434","Cedar Waxwing",2001,-1.34384230315292
"435","Cedar Waxwing",2002,-3.96108826288512
"436","Cedar Waxwing",2003,-12.9692766847001
"437","Cedar Waxwing",2004,-2.15071191951941
"438","Cedar Waxwing",2005,-23.2533557020746
"439","Cedar Waxwing",2006,-2.96781773310049
"440","Cedar Waxwing",2007,-6.58564389929927
"441","Cedar Waxwing",2008,-19.7082842079048
"442","Cedar Waxwing",2009,-6.53602407214707
"443","Cedar Waxwing",2010,-15.1633299166783
"444","Cedar Waxwing",2011,-2.20348040361638
"445","Cedar Waxwing",2012,-3.58864701260407
"446","Cedar Waxwing",2013,-14.3004200392767
"447","Cedar Waxwing",2014,-6.44251513470842
"448","Cedar Waxwing",2015,-21.5351039886622
"449","Cedar Waxwing",2016,-0.13085847531674
"450","Cedar Waxwing",2017,-10.7702849797262
"451","Cedar Waxwing",2018,-3.80387158682181
"452","Cedar Waxwing",2019,-3.19319542528921
"453","Cedar Waxwing",2020,-4.36056868096166
"454","Cedar Waxwing",2021,-7.91529926884075
"455","Cedar Waxwing",2022,-4.51436900819131
"456","Cedar Waxwing",2023,-29.8878868181741
"457","Cedar Waxwing",2024,0.0627775059073791
"486","Chipping Sparrow",1999,0.47322192752987
"487","Chipping Sparrow",2000,1.84938767150486
"488","Chipping Sparrow",2001,-0.0614372549019602
"489","Chipping Sparrow",2002,1.31948629601292
"490","Chipping Sparrow",2003,-1.52608282844604
"491","Chipping Sparrow",2004,-4.94144845396186
"492","Chipping Sparrow",2005,-2.74429487842036
"493","Chipping Sparrow",2006,-2.60348738893068
"494","Chipping Sparrow",2007,1.71457626711833
"495","Chipping Sparrow",2008,-5.71978250444593
"496","Chipping Sparrow",2009,-2.98793156333808
"497","Chipping Sparrow",2010,-2.45982999196719
"498","Chipping Sparrow",2011,-8.007600999001
"499","Chipping Sparrow",2012,-5.54520188627103
"500","Chipping Sparrow",2013,-8.57806855911776
"501","Chipping Sparrow",2014,-5.78210967463238
"502","Chipping Sparrow",2015,-7.16073094771146
"503","Chipping Sparrow",2016,-5.68617578116634
"504","Chipping Sparrow",2017,-1.71666945003353
"505","Chipping Sparrow",2018,-6.21532134801915
"506","Chipping Sparrow",2019,-6.86802388918311
"507","Chipping Sparrow",2020,-12.3556601454065
"508","Chipping Sparrow",2021,-5.63234920418631
"509","Chipping Sparrow",2022,-5.63594751868712
"510","Chipping Sparrow",2023,-4.16671726416025
"511","Chipping Sparrow",2024,-6.41823044753639
"540","Common Grackle",1999,-13.3856212149285
"541","Common Grackle",2000,-9.55940573176151
"542","Common Grackle",2001,-9.18343026393656
"543","Common Grackle",2002,2.90883813418611
"544","Common Grackle",2003,3.89011276723545
"545","Common Grackle",2004,4.77264304017866
"546","Common Grackle",2005,-0.754118423636521
"547","Common Grackle",2006,-15.7000188539927
"548","Common Grackle",2007,-72.8983082737746
"549","Common Grackle",2008,1.98025553514456
"550","Common Grackle",2009,2.4070496005671
"551","Common Grackle",2010,-52.265225428195
"552","Common Grackle",2011,-7.89245782391388
"553","Common Grackle",2012,2.75897743873172
"554","Common Grackle",2013,-13.8700293940355
"555","Common Grackle",2014,-8.13891030188819
"556","Common Grackle",2015,-0.53849851555809
"557","Common Grackle",2016,3.18289439730454
"558","Common Grackle",2017,-22.4431982590205
"559","Common Grackle",2018,-24.1846910267249
"560","Common Grackle",2019,-44.8964332008367
"561","Common Grackle",2020,-3.60188051948052
"562","Common Grackle",2021,-1.88672983885808
"563","Common Grackle",2022,-91.4323299127262
"564","Common Grackle",2023,0.10014924310697
"565","Common Grackle",2024,1.97572640697182
"594","Downy Woodpecker",1999,-1.6802312942177
"595","Downy Woodpecker",2000,-1.36775114911719
"596","Downy Woodpecker",2001,-1.78053278447055
"597","Downy Woodpecker",2002,-1.14311677587849
"598","Downy Woodpecker",2003,-0.54958854009621
"599","Downy Woodpecker",2004,-1.65963512544803
"600","Downy Woodpecker",2005,-1.60645949820789
"601","Downy Woodpecker",2006,-1.87068193473917
"602","Downy Woodpecker",2007,-1.01130422698287
"603","Downy Woodpecker",2008,-1.37126279855727
"604","Downy Woodpecker",2009,-1.3289177377892
"605","Downy Woodpecker",2010,-1.45356699238188
"606","Downy Woodpecker",2011,-1.44061995730933
"607","Downy Woodpecker",2012,-1.16431224010888
"608","Downy Woodpecker",2013,-2.26820257152954
"609","Downy Woodpecker",2014,-1.80557067799768
"610","Downy Woodpecker",2015,-1.71830657725638
"611","Downy Woodpecker",2016,-1.61314625576905
"612","Downy Woodpecker",2017,-1.71548031397484
"613","Downy Woodpecker",2018,-1.94434787464947
"614","Downy Woodpecker",2019,-2.13966618520401
"615","Downy Woodpecker",2020,-1.15683333333333
"616","Downy Woodpecker",2021,-1.98388845981553
"617","Downy Woodpecker",2022,-2.14933957495445
"618","Downy Woodpecker",2023,-1.93029287988336
"619","Downy Woodpecker",2024,-2.13295611403792
"621","Eastern Bluebird",1999,-4.93459579288026
"622","Eastern Bluebird",2000,-3.91924874388805
"623","Eastern Bluebird",2001,-4.00673051377304
"624","Eastern Bluebird",2002,-3.02335807977736
"625","Eastern Bluebird",2003,-2.29687112992548
"626","Eastern Bluebird",2004,-3.25854358489756
"627","Eastern Bluebird",2005,-3.93032619306394
"628","Eastern Bluebird",2006,-5.63123865370596
"629","Eastern Bluebird",2007,-4.68619280641666
"630","Eastern Bluebird",2008,-4.58103218869233
"631","Eastern Bluebird",2009,-5.38645806917097
"632","Eastern Bluebird",2010,-6.0834152417862
"633","Eastern Bluebird",2011,-5.20209366573276
"634","Eastern Bluebird",2012,-4.8318867768595
"635","Eastern Bluebird",2013,-4.52740994878854
"636","Eastern Bluebird",2014,-4.75058928157218
"637","Eastern Bluebird",2015,-2.96483315858453
"638","Eastern Bluebird",2016,-3.88042589763178
"639","Eastern Bluebird",2017,-6.30003904606942
"640","Eastern Bluebird",2018,-4.07552246534064
"641","Eastern Bluebird",2019,-5.45368405131503
"642","Eastern Bluebird",2020,-5.82379673202614
"643","Eastern Bluebird",2021,-8.30317011699577
"644","Eastern Bluebird",2022,-6.41450758418926
"645","Eastern Bluebird",2023,-3.54570066995981
"646","Eastern Bluebird",2024,-3.81947380698442
"675","Eastern Phoebe",1999,-0.287552420306966
"676","Eastern Phoebe",2000,-0.314742304425242
"677","Eastern Phoebe",2001,-0.225577132959255
"678","Eastern Phoebe",2002,0.13031647670314
"679","Eastern Phoebe",2003,0.00871903651903699
"680","Eastern Phoebe",2004,-0.30018246703753
"681","Eastern Phoebe",2005,-0.98862466766644
"682","Eastern Phoebe",2006,-0.276462365079919
"683","Eastern Phoebe",2007,0.025257719183945
"684","Eastern Phoebe",2008,-0.280389827538984
"685","Eastern Phoebe",2009,-0.0169327207322201
"686","Eastern Phoebe",2010,-0.139643460233371
"687","Eastern Phoebe",2011,-0.070949524339097
"688","Eastern Phoebe",2012,-0.366821463618332
"689","Eastern Phoebe",2013,-0.750659350058136
"690","Eastern Phoebe",2014,-0.553749876733659
"691","Eastern Phoebe",2015,-0.393522887544093
"692","Eastern Phoebe",2016,-0.094897243521765
"693","Eastern Phoebe",2017,-0.418572239638487
"694","Eastern Phoebe",2018,-0.415780086880754
"695","Eastern Phoebe",2019,-0.367087178008458
"696","Eastern Phoebe",2020,-0.677694957983193
"697","Eastern Phoebe",2021,-0.259054083217948
"698","Eastern Phoebe",2022,-0.587612873973029
"699","Eastern Phoebe",2023,-0.450822930683938
"700","Eastern Phoebe",2024,-0.981712933638581
"702","Eastern Towhee",1999,-0.24046207322623
"703","Eastern Towhee",2000,-0.89675144323205
"704","Eastern Towhee",2001,0.09398653729408
"705","Eastern Towhee",2002,0.8191326582962
"706","Eastern Towhee",2003,0.63878894056096
"707","Eastern Towhee",2004,-0.62258407175526
"708","Eastern Towhee",2005,-2.9413798405406
"709","Eastern Towhee",2006,-1.33687797001153
"710","Eastern Towhee",2007,-1.33826759631759
"711","Eastern Towhee",2008,0.39575458433311
"712","Eastern Towhee",2009,-1.9597206396134
"713","Eastern Towhee",2010,-0.63033123094874
"714","Eastern Towhee",2011,-2.26972849417046
"715","Eastern Towhee",2012,-2.11405013774104
"716","Eastern Towhee",2013,-3.44073778110061
"717","Eastern Towhee",2014,-1.67537648529564
"718","Eastern Towhee",2015,-1.31261757263538
"719","Eastern Towhee",2016,-1.38626370243929
"720","Eastern Towhee",2017,-1.38735438596836
"721","Eastern Towhee",2018,-1.63286631521773
"722","Eastern Towhee",2019,-2.40014989954097
"723","Eastern Towhee",2020,-2.27494855129209
"724","Eastern Towhee",2021,-2.73143388567156
"725","Eastern Towhee",2022,-2.27426164731825
"726","Eastern Towhee",2023,-1.41799879363326
"727","Eastern Towhee",2024,-1.60035240308392
"756","European Starling",1999,-21.4917584122959
"757","European Starling",2000,-14.2875685922605
"758","European Starling",2001,-12.3880616403614
"759","European Starling",2002,-5.22862164947941
"760","European Starling",2003,-4.84925388971804
"761","European Starling",2004,-8.93482710650255
"762","European Starling",2005,-8.38358135511302
"763","European Starling",2006,-5.04374430336925
"764","European Starling",2007,-10.789353531382
"765","European Starling",2008,-9.76799898989898
"766","European Starling",2009,-4.56980939340039
"767","European Starling",2010,-7.69394216741559
"768","European Starling",2011,-5.84893175005847
"769","European Starling",2012,-7.589808410281
"770","European Starling",2013,-6.28701925721728
"771","European Starling",2014,-10.5063651623249
"772","European Starling",2015,-4.180877214632
"773","European Starling",2016,-5.42988569623138
"774","European Starling",2017,-6.65178373471189
"775","European Starling",2018,-6.11470652011021
"776","European Starling",2019,-5.38830954428435
"777","European Starling",2020,-8.00875544554455
"778","European Starling",2021,-6.57994404186718
"779","European Starling",2022,-3.3984509844134
"780","European Starling",2023,-3.81781007545495
"781","European Starling",2024,-1.97723488446762
"891","House Finch",1999,-2.23250559440559
"892","House Finch",2000,-0.0637088555899101
"893","House Finch",2001,-1.46019801481961
"894","House Finch",2002,-0.0229422932297001
"895","House Finch",2003,-0.04877788303954
"896","House Finch",2004,-0.78797658344897
"897","House Finch",2005,-2.01265718793413
"898","House Finch",2006,-2.13661862068558
"899","House Finch",2007,-1.74531497089108
"900","House Finch",2008,-1.78958837473207
"901","House Finch",2009,-1.04174207773348
"902","House Finch",2010,-3.72410881533952
"903","House Finch",2011,-0.58520970489515
"904","House Finch",2012,-1.81814760020461
"905","House Finch",2013,-1.01843031272467
"906","House Finch",2014,-1.7948942687747
"907","House Finch",2015,-1.32867232383149
"908","House Finch",2016,-1.52633803092678
"909","House Finch",2017,-2.26962482228823
"910","House Finch",2018,-0.60456541952253
"911","House Finch",2019,-0.54323228443469
"912","House Finch",2020,-1.6876948051948
"913","House Finch",2021,-1.86958990387754
"914","House Finch",2022,-2.21599692616029
"915","House Finch",2023,-0.73042366250022
"916","House Finch",2024,-0.27626023769937
"918","House Sparrow",1999,-1.14677755703945
"919","House Sparrow",2000,0.03285275730104
"920","House Sparrow",2001,-0.38810970410586
"921","House Sparrow",2002,-0.28843772327379
"922","House Sparrow",2003,0.369932882627227
"923","House Sparrow",2004,0.0277976374397411
"924","House Sparrow",2005,-0.112381981151789
"925","House Sparrow",2006,-0.457632188603476
"926","House Sparrow",2007,0.187219078384629
"927","House Sparrow",2008,-0.71249963905797
"928","House Sparrow",2009,0.351357853403141
"929","House Sparrow",2010,0.098074841981402
"930","House Sparrow",2011,-0.315585283962818
"931","House Sparrow",2012,-0.304387130050627
"932","House Sparrow",2013,0.071527762184954
"933","House Sparrow",2014,-0.255181230873853
"934","House Sparrow",2015,-0.07785530618249
"935","House Sparrow",2016,0.031081609493062
"936","House Sparrow",2017,-0.274249235101126
"937","House Sparrow",2018,-0.145815793330829
"938","House Sparrow",2019,0.22145358878716
"939","House Sparrow",2020,0.197255555555556
"940","House Sparrow",2021,-0.120937991580584
"941","House Sparrow",2022,-0.17833033814297
"942","House Sparrow",2023,-0.430421614605009
"943","House Sparrow",2024,0.042416129032258
"972","Mourning Dove",1999,-2.98764614621451
"973","Mourning Dove",2000,-0.17315170392434
"974","Mourning Dove",2001,-2.29691190538212
"975","Mourning Dove",2002,1.93140536287733
"976","Mourning Dove",2003,0.61758528187974
"977","Mourning Dove",2004,-1.80050940534233
"978","Mourning Dove",2005,-6.54795880809828
"979","Mourning Dove",2006,-1.97722596098048
"980","Mourning Dove",2007,-2.83821957276186
"981","Mourning Dove",2008,-3.4004481193906
"982","Mourning Dove",2009,0.42679173247112
"983","Mourning Dove",2010,-2.54182731741198
"984","Mourning Dove",2011,-1.73531111720858
"985","Mourning Dove",2012,-0.61713835125448
"986","Mourning Dove",2013,-2.62775519713262
"987","Mourning Dove",2014,-2.50563593246605
"988","Mourning Dove",2015,-0.49622065849443
"989","Mourning Dove",2016,-1.84626344892221
"990","Mourning Dove",2017,-3.7020840948669
"991","Mourning Dove",2018,-1.50558347459666
"992","Mourning Dove",2019,1.30371779982009
"993","Mourning Dove",2020,-2.76584697986577
"994","Mourning Dove",2021,-4.3479249492443
"995","Mourning Dove",2022,-1.04049577701572
"996","Mourning Dove",2023,-0.30941017599819
"997","Mourning Dove",2024,-1.51921302024198
"999","Northern Cardinal",1999,-1.74007795434022
"1000","Northern Cardinal",2000,3.7074231825348
"1001","Northern Cardinal",2001,3.1232816313423
"1002","Northern Cardinal",2002,0.553598572244431
"1003","Northern Cardinal",2003,1.10842493312879
"1004","Northern Cardinal",2004,-4.09824768889981
"1005","Northern Cardinal",2005,-2.16819500930446
"1006","Northern Cardinal",2006,-0.00440924227269868
"1007","Northern Cardinal",2007,-4.09028124232625
"1008","Northern Cardinal",2008,-2.86391267535188
"1009","Northern Cardinal",2009,-5.28056973496884
"1010","Northern Cardinal",2010,-0.64834641124931
"1011","Northern Cardinal",2011,-3.28559811538906
"1012","Northern Cardinal",2012,-0.385353763440859
"1013","Northern Cardinal",2013,-5.28518251791277
"1014","Northern Cardinal",2014,-1.43880387883248
"1015","Northern Cardinal",2015,-1.76640237993809
"1016","Northern Cardinal",2016,-4.1877547474915
"1017","Northern Cardinal",2017,-1.60033603699984
"1018","Northern Cardinal",2018,-3.59742458637298
"1019","Northern Cardinal",2019,-2.5985629605294
"1020","Northern Cardinal",2020,-3.94125483870968
"1021","Northern Cardinal",2021,-1.83786996046853
"1022","Northern Cardinal",2022,2.35657850980894
"1023","Northern Cardinal",2023,-3.4825169210907
"1024","Northern Cardinal",2024,-3.37604838234752
"1026","Northern Mockingbird",1999,0.47453648316665
"1027","Northern Mockingbird",2000,0.49096830943347
"1028","Northern Mockingbird",2001,-0.23435109741744
"1029","Northern Mockingbird",2002,0.9518982018028
"1030","Northern Mockingbird",2003,1.65611698105677
"1031","Northern Mockingbird",2004,0.29644083769633
"1032","Northern Mockingbird",2005,-0.33517701415139
"1033","Northern Mockingbird",2006,-0.26186421207057
"1034","Northern Mockingbird",2007,-0.30837985587019
"1035","Northern Mockingbird",2008,-0.31189670909805
"1036","Northern Mockingbird",2009,-0.40383155389323
"1037","Northern Mockingbird",2010,-0.38826150128189
"1038","Northern Mockingbird",2011,0.59838720963699
"1039","Northern Mockingbird",2012,-0.06946360669065
"1040","Northern Mockingbird",2013,-0.0965480519393298
"1041","Northern Mockingbird",2014,-0.0584736650034701
"1042","Northern Mockingbird",2015,0.45523504956355
"1043","Northern Mockingbird",2016,-0.15957327310371
"1044","Northern Mockingbird",2017,0.12417471703447
"1045","Northern Mockingbird",2018,-0.32897463013065
"1046","Northern Mockingbird",2019,0.58651550468262
"1047","Northern Mockingbird",2020,-0.3206526261586
"1048","Northern Mockingbird",2021,0.08731997094657
"1049","Northern Mockingbird",2022,-0.16243399962065
"1050","Northern Mockingbird",2023,0.27428018774151
"1051","Northern Mockingbird",2024,-0.777045021645022
"1134","Pine Warbler",1999,2.17050298441715
"1135","Pine Warbler",2000,1.68676348711929
"1136","Pine Warbler",2001,2.67026139204695
"1137","Pine Warbler",2002,4.32370477476845
"1138","Pine Warbler",2003,1.23729677869557
"1139","Pine Warbler",2004,1.03507871276194
"1140","Pine Warbler",2005,2.05565736353605
"1141","Pine Warbler",2006,0.51344871932827
"1142","Pine Warbler",2007,1.56326847346212
"1143","Pine Warbler",2008,1.55247113197439
"1144","Pine Warbler",2009,1.0371777695979
"1145","Pine Warbler",2010,1.20714162314422
"1146","Pine Warbler",2011,2.03346369926385
"1147","Pine Warbler",2012,1.9506303202054
"1148","Pine Warbler",2013,0.54038673813067
"1149","Pine Warbler",2014,1.4947072317262
"1150","Pine Warbler",2015,1.52454643417182
"1151","Pine Warbler",2016,0.79452495832656
"1152","Pine Warbler",2017,0.5523999687145
"1153","Pine Warbler",2018,0.63519184936927
"1154","Pine Warbler",2019,-1.17155238252777
"1155","Pine Warbler",2020,-0.23818664850136
"1156","Pine Warbler",2021,2.6528484520587
"1157","Pine Warbler",2022,1.70443930211203
