"year","American Crow","American Goldfinch","American Pipit","American Robin","American Woodcock","Baltimore Oriole","Black-and-white Warbler","Blue Jay","Blue-gray Gnatcatcher","Blue-headed Vireo","Brown Creeper","Brown Thrasher","Brown-headed Cowbird","Brown-headed Nuthatch","Carolina Chickadee","Carolina Wren","Cedar Waxwing","Chipping Sparrow","Common Grackle","Common Merganser","Common Raven","Common Yellowthroat","Dark-eyed Junco","Downy Woodpecker","Eastern Bluebird","Eastern Meadowlark","Eastern Phoebe","Eastern Towhee","European Starling","Field Sparrow","Fish Crow","Fox Sparrow","Golden-crowned Kinglet","Gray Catbird","Hermit Thrush","House Finch","House Sparrow","House Wren","Mourning Dove","Northern Bobwhite","Northern Cardinal","Northern Flicker","Northern Mockingbird","Orange-crowned Warbler","Palm Warbler","Pileated Woodpecker","Pine Siskin","Pine Warbler","Purple Finch","Red-bellied Woodpecker","Red-breasted Nuthatch","Red-headed Woodpecker","Red-winged Blackbird","Ruby-crowned Kinglet","Rusty Blackbird","Savannah Sparrow","Song Sparrow","Swamp Sparrow","Tufted Titmouse","Vesper Sparrow","White-breasted Nuthatch","White-crowned Sparrow","White-throated Sparrow","Winter Wren","Yellow-bellied Sapsucker","Yellow-rumped Warbler"
2010,-0.494999999999999,9.9079,1.4903,2.9836,-0.1202,0.0445,0,-1.8636,0,-0.0167,-0.0832,0.0315000000000001,-0.0176000000000001,-0.571,-0.0758000000000001,-0.9407,7.5424,0.0407000000000002,52.2407,0,0.0301,-0.0103,9.1167,0.287,1.1099,0.0988000000000002,-0.3499,-0.9313,3.2447,0.7479,0,-0.0963,-1.2838,-0.005,0.0264,2.0386,-0.397,-0.013,1.9469,0.059,-1.5368,0.7348,0.0316999999999998,-0.0072,-0.0588,-0.0788,7.7141,0.2577,1.0854,-0.380199999999999,0.1183,-0.1205,10.7466,-1.7114,0.1033,0.9915,2.6621,0.3713,-0.407300000000001,0,-0.5453,0.1785,0.767699999999998,-0.5495,-0.7102,0.4405
2011,1.7449,-9.4001,3.0771,2.4834,0.0419,-0.0449,0.0076,-0.5036,0,-0.0074,0.132,-0.0647000000000001,-0.8676,1.009,3.8266,0.8261,-10.4592,4.569,-43.0151,0,-0.0073,-0.0021,-16.2427,-0.3174,-0.289800000000001,-0.5355,0.1002,1.3323,-1.6799,-0.6677,0,-0.5209,-1.699,0.000200000000000001,-0.2106,-2.1947,0.7641,-0.00580000000000001,0.138,-0.059,0.473099999999999,-0.3148,-0.1819,0.0076,0.0153,0.1216,-7.7241,-0.9374,-1.2216,0.6518,-0.1151,-0.1178,5.3245,0.8527,0.1641,-0.6732,1.5321,-0.1852,2.9388,0.0104,0.7671,-0.1688,-0.2317,0.4011,0.3405,0.8675
2012,1.0037,4.4145,-3.3021,-1.8412,0.0746,-5e-04,-0.0076,0.3874,0,0.0244,0.0111000000000001,-0.0599000000000001,0.5205,-0.5106,-2.1543,0.2645,3.1596,-0.557499999999999,-10.4993,0,-0.0228,0.0278,0.410400000000003,0.3381,-0.306699999999999,0.2038,0.3722,-0.531899999999998,1.6434,1.0425,0.0071,-0.0865,4.4546,0.0084,0.2682,1.3256,-0.1943,0.013,-0.7733,0,-1.5766,0.1962,0.1417,0.0012,0.2245,-0.116,10.1098,0.9018,0.5358,-0.3359,0.6953,0.4768,5.4346,1.1521,9.6905,0.1499,1.3275,1.4265,-0.9978,-0.0104,-0.36,0.1058,-0.489999999999998,0.2669,0.1211,-1.6083
2013,-1.7786,-4.0538,-0.9766,4.0243,-0.0673,0.0065,0.0074,0.788100000000001,0,0.0039,-0.0151,0.263,-0.4749,-0.4343,0.963800000000001,2.0754,6.8117,1.1978,16.6044,0,0.0148,-0.0218,-0.256100000000004,0.5613,-1.0744,-0.4103,0.1186,0.462499999999999,-1.468,-1.4943,-0.000900000000000001,0.0212,1.7565,0.0036,0.0874000000000001,-1.6195,-0.4985,-0.0067,0.6549,0,1.0537,-0.4477,-0.4659,-0.0088,-0.0876,-0.0241,-10.1024,-0.3602,-0.5648,0.8076,-0.7057,0.2654,-8.6129,1.3627,-10.2953,-0.3644,-7.3559,-1.3898,0.114000000000001,0,-0.0934000000000004,-0.1178,-1.9059,0.0106999999999999,0.0727,0.670100000000001
2014,-0.276899999999999,2.8484,-0.2323,2.8376,-0.0231,-0.0018,-0.0015,0.0492999999999988,0.0156,-0.0225,-0.092,-0.1675,0.185,0.6139,-0.167400000000001,-1.5079,-7.6639,-3.2155,-6.8414,0,-0.003,-0.0136,1.2664,-0.3073,1.1356,0.0105,-0.1106,-0.412199999999999,3.2794,1.6519,0.1808,-0.21,-4.5943,-0.0079,-0.0982000000000001,0.6273,0.2678,0.006,0.344400000000001,0.0244,-0.9602,0.2936,-0.1588,0.0059,-0.1217,0.3821,4.3555,-0.5602,0.2834,-0.9308,0.0118,-0.4795,3.3691,-2.2545,-0.3868,1.8479,3.9918,1.7962,-1.2328,0,0.2172,0.0461,7.2568,-0.1574,0.1155,-0.784
2015,-1.8266,-1.3235,1.2777,-10.4018,0.0588,-0.0043,-0.0059,-0.9021,-0.0156,-0.0134,0.0387999999999999,-0.2446,0.0935,-0.7216,-1.3666,-0.8683,14.4015,1.8935,-6.9264,0,0.0193,0.0117,-1.8629,-0.1155,-2.4306,-0.1789,-0.5191,-0.439700000000001,-5.8508,-1.2821,-0.1696,0.2571,-0.8418,-0.0193,-0.2758,-0.4305,-0.0439,-0.0331,-1.8036,-0.0244,0.968399999999999,-0.7857,-0.2457,-0.0059,-0.0305,-0.0837,-4.1367,0.7243,-0.1585,-0.0129000000000001,-9.99999999999994e-05,-0.3084,3.8902,0.6108,0.0685,-2.2084,-2.7965,-1.8434,-0.640700000000001,0,-0.107,0.0096,-11.4274,-0.0292,-0.1048,-1.3023
2016,3.2871,0.2457,-1.5212,-2.4403,-0.0462,0.006,0.0147,0.3556,0.0387,0.0215,0.0686,0.087,-0.2773,-0.198,0.4436,-0.6981,-19.8007,-1.4208,-3.1074,0,0.0051,-0.005,-0.2182,-0.3367,-0.290399999999999,0.6132,-0.1019,-0.2669,0.7471,-0.325,0.0182,-0.141,2.8242,0.0399,-0.083,0.0962000000000001,-0.2776,0.1048,0.728200000000001,0,0.313300000000002,0.6269,-0.2901,0.0067,0,-0.1808,-0.1913,0.06,0.0177,-0.3801,0.0631,-0.2167,21.3322,0.1778,0.00900000000000001,0.1651,0.683800000000002,0.0181,0.114000000000001,0,0.00749999999999984,-0.0693,10.5133,0.0617,-0.6143,-1.8111
2017,-2.5225,0.2502,0.3519,14.1151,-0.037,0.0015,-0.0055,-0.364599999999999,-0.0209,0.0622,0.0129,0.2295,12.0738,0.0442999999999998,-1.6921,0.1081,9.7543,-2.3142,24.2914,0,-0.019,0.0019,2.2585,0.1649,3.897,0.1209,0.6283,0.836299999999999,1.2741,-0.3831,-0.027,0.1338,0.3527,-0.0399,0.8871,0.9741,0.1554,-0.078,2.1526,0,0.637899999999998,-0.5308,0.1216,-0.0067,0.2489,-0.0565,-0.0124,1.0593,-0.1772,0.069,-0.0673,0.3143,-14.9642,1.9752,-0.0445,0.1663,-0.2887,0.3068,-0.4394,0,-0.2013,0,-3.3443,0.1378,0.7664,4.2685
2018,-3.5228,-0.1432,-0.4821,1.2,0.0949,-0.015,0.0111,2.9198,-0.0178,-0.059,-0.0444,-0.0852,-10.852,0.5447,0.922700000000001,0.838,-6.7754,3.4656,0.996500000000001,0,0.0177,0.0204,-10.3037,0.2711,-3.0613,-0.2277,-0.3448,-0.100699999999999,-0.426200000000001,-0.3253,-0.0086,-0.1355,-2.9573,0.0593,-1.1203,-1.3689,0.291,0.0119,-1.2136,0.0072,-0.1586,0.6749,0.2275,0.0072,-0.0788,0.163,1.029,-1.2493,0.3418,2.338,0.801,1.1894,2.825,-2.7037,-0.0426,-0.0752,0.217699999999999,-0.0841000000000003,0.3659,0,0.5624,0,-4.7439,-0.2729,-0.2416,-4.1325
2019,1.4768,-2.5596,1.2555,-18.4897,-0.0715,0,0.0505,-3.8819,0.0306,0.0187,-0.1122,0.0239,-0.9957,-0.1283,-0.448700000000001,0.7997,-1.7405,0.757900000000001,21.4462,0,-0.0156,0.003,-0.6275,0.3027,1.6786,-0.2266,0.3688,-0.432100000000001,-0.0646000000000004,1.33,0.0161,-0.2854,-1.0123,-0.0318,0.6934,-0.107,-0.2246,0.0181,-2.5868,0.0073,-0.691800000000001,-0.8335,-0.4621,-0.0072,0.3983,-0.1566,-1.032,2.5703,-0.3192,-1.8203,-0.7892,-0.7482,-23.2937,4.6757,0.0648,-0.105,2.0085,1.925,0.427500000000001,0,-0.4188,0,-1.0263,0.2878,-0.0410999999999999,0.00949999999999984
2020,0.472899999999999,1.2616,1.2105,47.183,0.033,0.0192,-0.0519,5.0559,-0.0241,0.0341,0.1342,0.0249,-0.2264,0.3906,0.435799999999999,0.4979,3.1792,3.5472,-42.7144,0,0.0129,0.025,8.5081,-0.3157,0.0285000000000011,-0.3205,-0.3222,-0.301699999999999,1.6773,-0.6973,-0.0161,0.6006,1.8893,0.0203,-0.1241,0.2971,-0.15,0.00850000000000001,1.7273,-0.0049,0.388900000000001,0.921,0.2321,0.0096,-0.2415,0.5392,6.5975,-2.1813,1.4394,0.493600000000001,0.9925,-0.2855,13.0221,-1.9571,0.1047,-0.0638,2.0926,-0.507099999999999,-0.139600000000001,0,0.2908,0,5.3437,-0.2196,0.5556,0.8429
2021,-2.079,-1.8426,-2.6548,-45.9103,-0.0702,-0.0192,0.0039,-3.8146,0.0095,-0.0492,0.00419999999999993,0.1619,2.0534,-0.191,1.5216,-1.8707,2.8596,-4.0862,-0.7546,0,-0.0181,-0.0361,-6.6593,0.359999999999999,2.8508,0.8593,0.1717,0.7756,-0.892099999999999,0.4,0.032,-0.4536,-0.2383,-0.0214,-0.3347,1.1522,0.2802,0.00599999999999999,3.1173,-0.0096,-0.452500000000001,-0.1902,0.1758,-0.0096,-0.1054,-0.3832,-6.617,0.1037,-1.4201,-1.0468,-1.0118,0.0728000000000001,-0.339999999999996,-1.0771,0.0554,0.2431,-0.431100000000002,-2.1852,0.800700000000002,0,0.0549000000000002,0,-0.555800000000001,0.1039,-0.8053,-0.1594
2022,3.2828,3.1651,0.7719,17.1635,-0.0032,0,0.000799999999999999,3.2595,-0.016,0.0251,0.0508000000000001,-0.1648,-2.058,0.9386,-2.0905,0.735,-3.8842,-0.146999999999998,89.3798,0.0078,-0.0141,-0.0209,12.712,0.2278,-1.3566,-0.8103,0.0396000000000001,-0.1011,-2.4223,-0.6007,-0.0242,0.8894,-0.3179,0.0425,0.6971,0.0617999999999999,-0.00719999999999998,-0.0333,-3.227,0.008,-3.3461,-0.0448,0.1099,0,-0.2059,0.1808,0.0842,0.4357,0.6712,2.0015,0.0631,0.629,12.4103,0.9772,9.205,0.1634,-0.2516,0.2676,-0.811100000000001,0.0273,0.2756,0,6.9807,-0.2878,1.2988,0.9224
2023,-1.9181,-2.787,-0.1497,0.141699999999997,0.0607,0.0076,-0.0084,-4.4513,0.016,0.0907,-0.1646,-0.0972999999999999,0.0357,-0.2896,0.516999999999999,0.1675,25.3844,-1.4606,-91.2228,-0.0078,0.0294,0.016,-3.768,-0.2887,-3.266,0.7832,0.0651999999999999,-0.5998,0.843799999999999,-0.2504,0.1043,-0.7792,-0.5489,-0.0462,0.3706,-0.2084,0.178,0.0127,-0.2337,-0.008,2.6312,-0.7913,-0.1899,0,0.0258,-0.0226000000000001,0.0966,-0.8546,-0.5858,-1.9304,-0.0555,-0.8614,27.1129,-0.397,-7.2892,0.1658,-0.079699999999999,0.5472,0.484,-0.0273,-0.4162,0.0076,-0.993199999999995,0.1209,-0.7011,0.6876
2024,-2.2567,-1.6207,-0.8054,-16.1319,-0.0787,-0.0076,0.0146,0.5976,-0.0021,-0.1284,0.2293,0.2216,1.1815,-0.6378,-1.0149,-1.6214,-30.0423,1.6227,-1.4895,0,-0.0063,-0.008,-2.5044,-0.0339999999999998,-0.136899999999999,-0.1256,0.269,-0.6318,-3.7167,0.0878000000000001,-0.0763,0.0722,0.1466,-0.007,-0.274,-1.4281,-0.4972,0.0107,-0.1332,0,-1.308,0.7818,0.1649,0.0157,0.0586,-0.118,-0.1808,-0.2553,0.3637,0.5355,-0.0076,0.8141,-44.437,-0.714199999999999,-2.0595,-0.3809,-2.1398,0.5045,-0.5999,0,0.6118,0.0063,-0.103500000000004,0.7539,0.0852000000000002,-2.6524
