"","Red.eyed.Vireo","Red.winged.Blackbird","Common.Yellowthroat","Wood.Thrush","European.Starling","Blue.Jay","Chimney.Swift","Northern.Mockingbird","American.Crow","Mourning.Dove","Barn.Swallow","American.Goldfinch","Eastern.Towhee","Indigo.Bunting","Yellow.breasted.Chat","American.Robin","Common.Grackle","Eastern.Meadowlark","Northern.Cardinal","Ovenbird","Carolina.Chickadee","Pine.Warbler","Eastern.Wood.Pewee","Tufted.Titmouse","Fish.Crow","Summer.Tanager","Great.Crested.Flycatcher","Chipping.Sparrow","White.eyed.Vireo","Blue.Grosbeak","Downy.Woodpecker","White.breasted.Nuthatch","Blue.gray.Gnatcatcher","Brown.headed.Nuthatch","House.Finch","Brown.headed.Cowbird","Eastern.Bluebird","Carolina.Wren","Eastern.Phoebe","Purple.Martin","Yellow.billed.Cuckoo","Brown.Thrasher","Red.bellied.Woodpecker"
"Eastern.Meadowlark",0.0174024147333555,0.363836640716063,0.354636446558361,0.536339063728037,0.422575212676952,0.577714712332641,0.417824684785071,0.522022318492297,0.536028120471162,0.599236317087301,0.491789466051041,0.544204711947615,0.712118348205744,0.665367272182294,0.704935072203294,0.719058937256368,0.801290410280186,1,0.643314756949352,-0.0468025135256253,0.12571536180352,0.28322357633559,0.0315841329691852,-0.26095983501978,-0.348786599481568,-0.648257310532959,-0.548575159676625,-0.516746305814069,-0.645069402378097,-0.277402773609737,-0.115528110260645,-0.409880121067556,-0.340402511130292,-0.442191042894196,-0.0732686488291517,-0.0729367349494875,0.265213476470736,-0.00723479189735696,0.275073117943447,0.232829556560669,-0.229844623560285,0.00885285520940082,-0.101053127284467
"Northern.Cardinal",-0.119045103568717,0.308806490356325,0.413235534721943,0.443510735008333,0.268961049116265,0.57509949337097,0.430540553754998,0.576951614501806,0.389001702206364,0.346975807121537,0.529553219918651,0.609375038930325,0.776582296308168,0.641442978067979,0.61743002555661,0.664579901913123,0.720807553515516,0.643314756949352,1,-0.27180261773842,-0.0887100948232463,0.0110674015147669,-0.13187773161554,-0.225971186941487,-0.358985802672628,-0.564402353319467,-0.5539850026994,-0.593850239141779,-0.722678448657841,-0.196707102313558,-0.298214736547618,-0.455189068492192,-0.390680944554344,-0.462029073566065,-0.0835105245578786,-0.0858990999452172,-0.00774396974366411,0.0332980944639283,-0.157748844691102,0.330034110754335,0.152804428154509,0.170136152084987,0.136431680713212
"Ovenbird",0.304880222871146,-0.0860469929252125,-0.114901406934596,0.0540103886712196,-0.0848584997864997,0.0921882949650633,0.165380735525626,-0.0580430856906439,-0.00308442538898251,0.103836825130875,0.182558013673491,0.057279469059608,-0.219282920291529,-0.0852255717340865,-0.102321317491716,-0.131644956513001,-0.0170663096978438,-0.0468025135256253,-0.27180261773842,1,0.470741442089125,0.502136396725392,0.461310282945829,0.341158016331872,0.0706627214613127,0.283210836278624,0.123987150390244,0.360423359242653,0.35085108448497,-0.0473109442053319,0.331782875264791,0.122723450790068,0.207538162461665,0.537703594952416,0.0981151194508081,0.37119331670786,-0.167061237653665,-0.221837795492238,0.128523975390999,-0.218910402938735,-0.315884405434385,-0.107020731840473,0.201911426689643
"Carolina.Chickadee",0.207700067933022,-0.33350827982757,-0.312943932836726,-0.187528472829633,0.205350958939468,0.144678483425966,0.0609678955178973,0.300672028613443,-0.0291552852987211,0.12739581014554,0.0842596291884741,-0.0850282586256604,-0.226857657374543,-0.107538859284355,-0.0502971462484486,-0.145511566790429,0.189511907151804,0.12571536180352,-0.0887100948232463,0.470741442089125,1,0.631361187978719,0.277741371450333,0.273255287262384,0.0325147972383445,0.196846441986804,0.343210313166252,0.450999936546249,0.317907929377326,0.151991466649314,0.494400878540817,0.306019442568871,0.0170024852227375,0.477829742516433,0.316407117425696,0.412959245669378,0.170335030454319,0.0113865019999132,0.406876118268299,0.0955889133965031,-0.385692411151,0.0621891045279966,0.20168787405959
"Pine.Warbler",0.577912477106838,0.111101398823507,0.0889547083367585,0.269873103070995,0.385019113184124,0.359865746582623,0.250645160958535,0.282239171264835,0.0748904333947592,0.43262517666113,0.321160402141581,0.386790478080954,0.0966541567704353,0.330694991867549,0.290848089461686,0.107622869213914,0.383788392871762,0.28322357633559,0.0110674015147669,0.502136396725392,0.631361187978719,1,0.201187741433409,-0.132950013790576,-0.218973988255213,0.0274741580271611,-0.146255081694816,-0.0259704260958844,0.0490865555626472,-0.13330033456213,0.453958476390187,0.185756369123533,-0.168065494105079,0.356161139537635,0.247833907672078,0.357870887353193,0.28081917581803,-0.0998941138537258,0.24287448053572,-0.263017925487065,-0.552151218093356,-0.212814194528822,-0.184922770936447
"Eastern.Wood.Pewee",0.149970550332182,-0.207426498713371,-0.0435226735766031,0.170763070655484,0.15819730569994,-0.0191359590388965,0.277051281794136,-0.0343306714966387,-0.12648913948518,-0.00329143768566719,0.215773602674515,0.141400580312005,-0.101459556018901,0.0106595588236618,0.0557280498456914,0.174898018650259,0.127277756198943,0.0315841329691852,-0.13187773161554,0.461310282945829,0.277741371450333,0.201187741433409,1,0.37378253700119,-0.0207548528754895,0.204991955038689,0.011579414013807,-0.00256376033290711,0.0467644251341716,0.123807333770291,0.0107086831582036,0.101599132779353,0.180619089768781,0.282463398312754,0.0136612194843288,0.0966728471415362,-0.385452561294519,-0.421874597027125,-0.0525126099573005,-0.143087743906468,-0.324120540492966,-0.0684434468878997,0.0136999369695105
"Tufted.Titmouse",-0.240948508606667,-0.497098603798148,-0.449060209396314,-0.380208898076917,-0.313232618013469,-0.280865399802958,-0.0953679807483484,-0.0983476156803802,0.038449453919844,-0.149038933163444,-0.118872025035427,-0.331135164435749,-0.404580302091772,-0.418165632636492,-0.434848641902716,-0.205327359038767,-0.272918971496744,-0.26095983501978,-0.225971186941487,0.341158016331872,0.273255287262384,-0.132950013790576,0.37378253700119,1,0.266587085196324,0.227984516520687,0.334910043853683,0.324157923863664,0.342387184747927,0.337638508635029,0.240391935091284,0.136959642297718,0.213011730796914,0.115268743482781,0.0693441027090484,-0.0980571218951218,-0.539059062727213,-0.356773788855919,-0.0697445826306952,-0.0325887066725159,0.264636724975046,0.165245214418382,0.501200731786013
"Fish.Crow",-0.441496011375607,-0.300035140348014,-0.621904849679637,-0.63772859684502,-0.489671684088839,-0.539794080796343,-0.540934781311695,-0.220660354585201,-0.16886913505629,-0.452940952329367,-0.38392704148249,-0.453590213129582,-0.54755149455535,-0.63061391682801,-0.609150308603482,-0.438361996920632,-0.541862295448408,-0.348786599481568,-0.358985802672628,0.0706627214613127,0.0325147972383445,-0.218973988255213,-0.0207548528754895,0.266587085196324,1,0.372911730055809,0.43135575471811,0.483843601339147,0.465087735180085,0.325596624911007,0.231445930979952,0.274883865853843,0.0350859918441055,0.322178536148827,0.142293139846497,0.0998839629877055,0.0683822344385242,0.11834884103917,0.182021128731925,0.0926135631812281,0.177234196646348,0.108807446284788,0.181121376684563
"Summer.Tanager",-0.123968875438353,-0.517938579543118,-0.545247060169291,-0.651132787636792,-0.417467679766343,-0.595544745554333,-0.58881037208501,-0.378201478797587,-0.546624636311529,-0.485051627187353,-0.372044184198293,-0.594535280202516,-0.701612332945762,-0.72978830171221,-0.581061530963418,-0.747424878311677,-0.660773366877234,-0.648257310532959,-0.564402353319467,0.283210836278624,0.196846441986804,0.0274741580271611,0.204991955038689,0.227984516520687,0.372911730055809,1,0.732764781320946,0.6246017818481,0.76178752795748,0.517915681115639,0.161931812039386,0.602643800664933,0.37091427283692,0.570074415927085,0.178144584311267,0.390017369975052,-0.00343683368149418,0.240069507502943,0.18392265089261,-0.0479401833004782,0.0520080993697174,0.0348733249652302,0.228857649950665
"Great.Crested.Flycatcher",-0.287569927790328,-0.514318410090489,-0.625981568882884,-0.831826345870797,-0.537833818951767,-0.641474673116996,-0.671876512571666,-0.39488235995813,-0.536701913445265,-0.584249179264392,-0.563950976477291,-0.780447577957747,-0.767609181961623,-0.847553543301122,-0.667645436450987,-0.833328409903229,-0.714595523859013,-0.548575159676625,-0.5539850026994,0.123987150390244,0.343210313166252,-0.146255081694816,0.011579414013807,0.334910043853683,0.43135575471811,0.732764781320946,1,0.819222226151716,0.782587608201817,0.411151674239812,0.184028319058572,0.527434218082049,0.41936321194083,0.428993933005298,0.184754731680307,0.382477407544077,0.0569095089646048,0.390498691494462,0.334915897466797,0.153891419250129,0.0910526741808885,-0.0689169128606196,0.19008174470141
"Chipping.Sparrow",-0.2617255150851,-0.411130009270063,-0.552370582265799,-0.750294217806358,-0.489862730059848,-0.475472970265026,-0.550680701338247,-0.279581844331931,-0.367603700031268,-0.511700401473093,-0.586057801037846,-0.641910530400327,-0.701342562558644,-0.750013871122512,-0.629441414396229,-0.702634601835061,-0.58927422120698,-0.516746305814069,-0.593850239141779,0.360423359242653,0.450999936546249,-0.0259704260958844,-0.00256376033290711,0.324157923863664,0.483843601339147,0.6246017818481,0.819222226151716,1,0.839238052312038,0.381637254043127,0.369219725013855,0.456613334052509,0.295201569373233,0.628988300095269,0.374592569404544,0.434449039478079,0.0492354031202765,0.374579603004654,0.443906199918791,0.159716549201324,-0.0763953630411613,-0.0191743918567587,0.279897969102218
"White.eyed.Vireo",0.00838845881885188,-0.432504867949973,-0.594709890502841,-0.700043152489807,-0.611749941095591,-0.635971484925665,-0.637343842669929,-0.467174936847444,-0.550293010509235,-0.555740912331241,-0.510896877611275,-0.654016734522935,-0.844147148056666,-0.825012012429903,-0.737642858086234,-0.82486837670941,-0.737678802022211,-0.645069402378097,-0.722678448657841,0.35085108448497,0.317907929377326,0.0490865555626472,0.0467644251341716,0.342387184747927,0.465087735180085,0.76178752795748,0.782587608201817,0.839238052312038,1,0.58563223392999,0.534219244450669,0.739272825672561,0.489578678767405,0.670418441609992,0.376535868188855,0.352383722757349,0.0298001706794278,0.3461997664191,0.383040087695788,-0.0280170844235851,0.0313605264216406,-0.12650080641335,0.116173420373513
"Blue.Grosbeak",-0.124923636593897,-0.484357693307824,-0.620485219448646,-0.505247551815433,-0.378805870412716,-0.451803263219404,-0.477438090959247,-0.173991647008327,-0.36843523004177,-0.564081712351591,-0.243262520801019,-0.493192337033397,-0.561984767722061,-0.518076608988525,-0.502841014610264,-0.418007974165883,-0.353239887349766,-0.277402773609737,-0.196707102313558,-0.0473109442053319,0.151991466649314,-0.13330033456213,0.123807333770291,0.337638508635029,0.325596624911007,0.517915681115639,0.411151674239812,0.381637254043127,0.58563223392999,1,0.410512807550955,0.614758565221472,0.210083779666573,0.312285773579562,0.165726400193409,0.0672697785211957,-0.0350911812992859,0.309808697362778,0.349867842285579,0.261938541259827,0.386439288133395,0.108002042114883,0.139499814145862
"Downy.Woodpecker",0.257776218337519,-0.19385641261272,-0.364612441075778,-0.184713739884394,-0.199710636271862,-0.0280879743481163,-0.244705251035483,-0.00378458606447761,0.0120798803969186,-0.0087447442270277,0.105771852125593,-0.0426197820296375,-0.348836048262933,-0.192111377601464,-0.287857475004691,-0.29631500076958,-0.156519688152932,-0.115528110260645,-0.298214736547618,0.331782875264791,0.494400878540817,0.453958476390187,0.0107086831582036,0.240391935091284,0.231445930979952,0.161931812039386,0.184028319058572,0.369219725013855,0.534219244450669,0.410512807550955,1,0.639790427755954,0.179027023488472,0.551365041459035,0.371494524124568,0.322368404706807,0.191919872444933,0.139735186034083,0.437155019826369,-0.126432641212448,-0.156422957966557,0.00564506751103141,0.0521845874978752
"White.breasted.Nuthatch",0.104489182321597,-0.320098057833863,-0.530035792993924,-0.464267733441977,-0.451233944391581,-0.432569371756135,-0.470995448518044,-0.321173797616398,-0.456097464518709,-0.2896128185926,-0.0805592846242621,-0.356905539697306,-0.627573055830545,-0.517940716648987,-0.486480593498204,-0.626944556978452,-0.46042332808587,-0.409880121067556,-0.455189068492192,0.122723450790068,0.306019442568871,0.185756369123533,0.101599132779353,0.136959642297718,0.274883865853843,0.602643800664933,0.527434218082049,0.456613334052509,0.739272825672561,0.614758565221472,0.639790427755954,1,0.497883133381406,0.636557752260808,0.433919396969329,0.495419851879988,0.260814776690808,0.347536443437185,0.433172448255158,-0.180848141917045,0.00347783536575982,-0.0366510562565849,0.0267798185384879
"Blue.gray.Gnatcatcher",0.181136930264396,-0.2226590328871,-0.0629305042976289,-0.142581460379387,-0.430910186352191,-0.424267431440417,-0.305816789607962,-0.537769456850165,-0.39106945181529,-0.114594071614171,-0.111974847694502,-0.466905636784828,-0.376097174168327,-0.374543328277586,-0.267337143318653,-0.421925720219157,-0.331411471389593,-0.340402511130292,-0.390680944554344,0.207538162461665,0.0170024852227375,-0.168065494105079,0.180619089768781,0.213011730796914,0.0350859918441055,0.37091427283692,0.41936321194083,0.295201569373233,0.489578678767405,0.210083779666573,0.179027023488472,0.497883133381406,1,0.24715933935549,0.273039120033452,0.062337143734799,-0.188785634876439,0.081873302969391,-0.0131460827894757,-0.158285579940654,0.0640851635166903,-0.155735110347701,-0.0340172861630419
"Brown.headed.Nuthatch",0.163055575080463,-0.144060723699124,-0.296512845396949,-0.295208548551744,-0.238324671615241,-0.132147054655639,-0.12686442839836,-0.0738612265886,-0.353602847428425,-0.262878782889844,-0.0392628117245662,-0.126675222834316,-0.518254181593758,-0.374155377480212,-0.348414410070733,-0.487310794562821,-0.305575046562901,-0.442191042894196,-0.462029073566065,0.537703594952416,0.477829742516433,0.356161139537635,0.282463398312754,0.115268743482781,0.322178536148827,0.570074415927085,0.428993933005298,0.628988300095269,0.670418441609992,0.312285773579562,0.551365041459035,0.636557752260808,0.24715933935549,1,0.576972608829933,0.482903780011023,0.0731452391859407,0.0982104929054898,0.271164157191045,-0.248921126189363,-0.268198741760983,-0.02254230386489,0.185451415439577
"House.Finch",0.0290925193163251,0.16670007402172,0.0705951403404595,-0.13495840665264,-0.253701205244788,-0.048354321315642,-0.113152329779797,0.0455193514506248,-0.153418866414445,0.0591242376875142,-0.10141563752111,0.0152561907667074,-0.085962200866648,-0.100609721886278,0.0318496422973065,-0.154893944047821,0.0603705330005902,-0.0732686488291517,-0.0835105245578786,0.0981151194508081,0.316407117425696,0.247833907672078,0.0136612194843288,0.0693441027090484,0.142293139846497,0.178144584311267,0.184754731680307,0.374592569404544,0.376535868188855,0.165726400193409,0.371494524124568,0.433919396969329,0.273039120033452,0.576972608829933,1,0.158902790443556,0.0480403781829499,0.125248309441813,0.208862029987296,-0.145229101571909,-0.279165094746341,-0.24078952359806,0.112586230708828
