"","European.Starling","American.Robin","Brown.Thrasher","Northern.Mockingbird","Blue.gray.Gnatcatcher","Tufted.Titmouse","Field.Sparrow","Northern.Cardinal","Common.Yellowthroat","Blue.Jay","Northern.Bobwhite","Carolina.Chickadee","Chipping.Sparrow","Common.Grackle","Gray.Catbird","House.Sparrow","Red.winged.Blackbird","Song.Sparrow","House.Finch","Brown.headed.Nuthatch","Red.bellied.Woodpecker","Eastern.Towhee","Pine.Warbler","American.Goldfinch","Brown.headed.Cowbird","American.Crow","Downy.Woodpecker","Mourning.Dove","White.breasted.Nuthatch","Fish.Crow","Eastern.Meadowlark","Eastern.Phoebe","Eastern.Bluebird","Carolina.Wren","Pileated.Woodpecker"
"Northern.Bobwhite",-0.0215384615384615,-0.16034188034188,0.0201709401709402,0.20957264957265,-0.107008547008547,-0.196581196581197,0.447597886521246,0.0735042735042735,0.238290598290598,0.416068376068376,1,0.0379487179487179,0.161709401709402,-0.0201709401709402,0.36957264957265,0.364164819820571,0.31008547008547,0.109059829059829,0.0379487179487179,0.463247863247863,0.127521367521368,0.144615384615385,0.143931623931624,0.0988034188034188,0.0441025641025641,-0.0475213675213675,0.203418803418803,0.0536752136752137,-0.149401709401709,0.119316239316239,0.219866647084157,0.124102564102564,0.263589743589744,0.118632478632479,0.121367521367521
"Carolina.Chickadee",0.130940170940171,-0.213675213675214,-0.0803418803418803,0.0700854700854701,-0.180854700854701,0.527521367521367,0.319028898490697,0.265641025641026,-0.0290598290598291,0.0694017094017094,0.0379487179487179,1,0.543931623931624,0.362051282051282,0.0755555555555555,0.197982564015127,-0.0639316239316239,0.165811965811966,0.259487179487179,0.0823931623931624,0.148034188034188,0.158974358974359,0.461880341880342,0.0823931623931624,0.425641025641026,-0.161025641025641,0.145982905982906,-0.158974358974359,-0.192478632478632,0.115213675213675,0.187382461278566,0.0817094017094017,-0.284786324786325,-0.0905982905982906,-0.102222222222222
"Chipping.Sparrow",0.262905982905983,-0.164444444444444,-0.284102564102564,-0.111794871794872,-0.184273504273504,0.0570940170940171,0.0382971453708018,-0.172649572649573,0.292991452991453,0.15008547008547,0.161709401709402,0.543931623931624,1,0.234871794871795,0.32034188034188,0.457514111661901,0.251282051282051,-0.222564102564103,-0.00854700854700855,0.0851282051282051,-0.0386324786324786,-0.133675213675214,0.12,-0.277948717948718,0.0694017094017094,-0.0153846153846154,-0.251282051282051,-0.415384615384615,-0.746324786324786,-0.223931623931624,0.0810394951150003,0.0591452991452991,-0.19042735042735,-0.174700854700855,-0.227350427350427
"Common.Grackle",0.10017094017094,0.260854700854701,-0.055042735042735,0.231452991452991,-0.096068376068376,0.182905982905983,0.103265516981984,0.383931623931624,0.102222222222222,0.178803418803419,-0.0201709401709402,0.362051282051282,0.234871794871795,1,0.576752136752137,0.460249622045529,0.0892307692307692,-0.0208547008547009,0.0994871794871795,0.0892307692307692,0.2,0.427008547008547,0.582905982905983,0.199316239316239,0.385299145299145,-0.188376068376068,0.0748717948717949,0.000341880341880342,-0.131623931623932,-0.201367521367521,0.0687296983886711,0.171965811965812,-0.37982905982906,-0.00923076923076923,0.36
"Gray.Catbird",-0.152136752136752,-0.0461538461538461,-0.292991452991453,-0.0379487179487179,0.0495726495726496,-0.153504273504273,0.0177808174935866,0.00170940170940171,0.21025641025641,0.0577777777777778,0.36957264957265,0.0755555555555555,0.32034188034188,0.576752136752137,1,0.655496675677028,0.437948717948718,0.0721367521367521,0.0598290598290598,0.174017094017094,0.176068376068376,0.385982905982906,0.412649572649573,0.0345299145299145,0.199316239316239,0.0646153846153846,-0.0413675213675214,-0.107008547008547,-0.233504273504273,-0.297777777777778,0.220550524680064,0.262222222222222,-0.227350427350427,-0.157606837606838,0.23008547008547
"House.Sparrow",-0.0444520437339664,-0.103949394577891,-0.39357155644458,0.0492391869053166,-0.277996242736267,-0.120704395677616,0.171682626538988,-0.0844588830945362,0.383997270101879,0.266370323605845,0.364164819820571,0.197982564015127,0.457514111661901,0.460249622045529,0.655496675677028,1,0.552915036290952,0.0912976590536079,0.00444520437339664,0.0338519409974052,0.0704393923784391,0.194221237237638,0.455120540076225,0.181911440511309,0.195588992429452,-0.0225679606649368,-0.0054710207672574,0.0977944962147261,-0.338861348772006,-0.303641652582786,0.265047879616963,0.317661143298883,-0.0841169442965826,-0.135749702787574,-0.0742007191559285
"Red.winged.Blackbird",-0.277948717948718,-0.398290598290598,-0.362051282051282,-0.116581196581197,-0.262222222222222,-0.483076923076923,0.227389300639136,0.0454700854700855,0.413333333333333,0.0194871794871795,0.31008547008547,-0.0639316239316239,0.251282051282051,0.0892307692307692,0.437948717948718,0.552915036290952,1,0.476239316239316,0.223247863247863,0.21025641025641,0.0379487179487179,0.115897435897436,0.0625641025641026,0.260854700854701,0.0735042735042735,-0.222564102564103,-0.133675213675214,0.00239316239316239,-0.251965811965812,-0.347692307692308,0.0218840830690296,-0.0652991452991453,0.0926495726495726,-0.12957264957265,-0.198632478632479
"Song.Sparrow",-0.494017094017094,-0.338119658119658,-0.139145299145299,-0.314188034188034,-0.151452991452991,0.0625641025641026,0.320738592480465,0.212991452991453,-0.180854700854701,-0.457094017094017,0.109059829059829,0.165811965811966,-0.222564102564103,-0.0208547008547009,0.0721367521367521,0.0912976590536079,0.476239316239316,1,0.443418803418803,0.0413675213675214,-0.0598290598290598,0.0652991452991453,0.0276923076923077,0.282735042735043,0.278632478632479,-0.291623931623932,0.111111111111111,0.00786324786324786,0.257435897435897,0.232136752136752,0.149427254705718,-0.152136752136752,-0.00239316239316239,-0.283418803418803,-0.215042735042735
"House.Finch",-0.214358974358974,-0.225299145299145,-0.0153846153846154,0.0912820512820513,-0.0981196581196581,0.223247863247863,0.334074205600655,0.145299145299145,0.0611965811965812,-0.217094017094017,0.0379487179487179,0.259487179487179,-0.00854700854700855,0.0994871794871795,0.0598290598290598,0.00444520437339664,0.223247863247863,0.443418803418803,1,0.438632478632479,0.476923076923077,0.26974358974359,0.128888888888889,0.393504273504273,0.161709401709402,0.16991452991453,0.0714529914529914,0.266324786324786,0.146666666666667,0.207521367521368,0.00136775519181435,-0.13025641025641,-0.0974358974358974,-0.414017094017094,-0.151452991452991
"Brown.headed.Nuthatch",0.00923076923076923,-0.0632478632478632,0.379145299145299,0.469401709401709,-0.10974358974359,-0.23008547008547,0.266028384807891,0.0988034188034188,0.0502564102564102,0.102905982905983,0.463247863247863,0.0823931623931624,0.0851282051282051,0.0892307692307692,0.174017094017094,0.0338519409974052,0.21025641025641,0.0413675213675214,0.438632478632479,1,0.524786324786325,0.219145299145299,0.154871794871795,0.364102564102564,0.202051282051282,0.0639316239316239,0.0488888888888889,0.00444444444444444,0.128205128205128,0.118632478632479,-0.252350832889748,0.00376068376068376,0.214358974358974,-0.227350427350427,-0.0283760683760684
