"","Common.Yellowthroat","Great.Crested.Flycatcher","Downy.Woodpecker","Acadian.Flycatcher","Fish.Crow","Brown.Thrasher","Brown.headed.Nuthatch","Chimney.Swift","Common.Grackle","Yellow.billed.Cuckoo","Brown.headed.Cowbird","Barn.Swallow","Wood.Thrush","House.Finch","Eastern.Phoebe","Ovenbird","Chipping.Sparrow","Red.bellied.Woodpecker","count","Northern.Cardinal","Carolina.Wren","Blue.Grosbeak","Summer.Tanager","Carolina.Chickadee","Eastern.Bluebird","Northern.Mockingbird","Pine.Warbler","American.Crow","Yellow.breasted.Chat","American.Goldfinch","Mourning.Dove","Red.eyed.Vireo","Red.winged.Blackbird","American.Robin","Eastern.Towhee","European.Starling","Indigo.Bunting","Purple.Martin","White.eyed.Vireo","Blue.gray.Gnatcatcher","White.breasted.Nuthatch","Tufted.Titmouse","Blue.Jay","Eastern.Meadowlark","Eastern.Wood.Pewee"
"American.Goldfinch",-0.000916903039001435,-0.00157991240978169,-0.00119426247814431,-0.00173743780883938,-0.00154519304239261,-0.00110935831997898,-0.00162166033667863,-0.000865938945861673,-0.000557593793813057,-0.00124437833700784,-0.00136689538767307,-0.00100334483761964,-0.000525986951886791,-0.00128466312887099,-0.00121993523929327,-0.00123865790295685,-0.0015485799249195,-0.00128313572575841,0.0150363599520845,-0.00105422427315174,-0.00140653187953587,-0.00106399825106602,-0.00124025116158956,-0.00112229331242877,-0.000891364860229694,-0.00101643122702343,-0.000943653963385901,-0.000899775616540609,-0.000865459519123428,1,-0.000835046642207605,-0.00082892439605655,-0.000798256643481432,0.00335174372350879,-0.000796874745854756,-0.000745885574211919,-0.000709439181027887,-0.00165749031555311,-0.0015997861677996,-0.00131987815878798,-0.00121662859384157,-0.00113790072731907,-0.000980377160220922,-8.52720899857229e-05,-0.00105413905898467
"Mourning.Dove",-0.000908295455490384,-0.00156508071283129,-0.00118305113563871,-0.00172112731536437,-0.00153068727941944,-0.00109894402972504,-0.00160643672395095,-0.000857809796458857,-0.000552359287064417,-0.00123269652333774,-0.00135406342431393,-0.000993925766995115,-0.000521049159752295,-0.00127260313485314,-0.00120848288936786,-0.00122702979083619,-0.00153404236700959,-0.00127109007049756,0.0663263545790277,-0.00104432756315675,-0.00139332782185577,-0.001054009786188,-0.00122860809248194,-0.00111175759272909,-0.000882997020723357,-0.00100688930568859,-0.000934795251014113,-0.000891328819626191,-0.000857334870420776,-0.000835046642207605,1,-0.000821142727046943,-0.000790762873224618,-0.000754182289314428,-0.000789393948397425,-0.000738883446291474,-0.000702779199833652,-0.00164193034279372,-0.00158476790255954,-0.00130748757767645,-0.00120520728561385,-0.00112721849035281,-0.000971173702581533,-8.4471583711354e-05,-0.00104424314895226
"Red.eyed.Vireo",-0.000901636176744318,-0.0015536061329864,-0.00117437745216333,-0.0017085086608492,-0.0015194648592201,-0.00109088698773945,-0.00159465893747406,-0.000851520659470262,-0.000548309597683832,-0.00122365885865653,-0.00134413594341796,-0.000986638679192012,-0.000517229024383117,-0.0012632728899897,-0.0011996227498929,-0.00121803367249441,-0.00152279534857698,-0.00126177091884972,0.0239354669517564,-0.00103667094844706,-0.00138311246924743,-0.00104628218508105,-0.00121960040262946,-0.00110360660654585,-0.000876523220532719,-0.000999507174122856,-0.000927941685789968,-0.000884793933837202,-0.000851049215410235,-0.00082892439605655,-0.000821142727046943,1,-0.000784965298918828,-0.000748652910014388,-0.000783606410530691,-0.000733466232322235,-0.00069762668854415,-0.00162989233052781,-0.00157314898368557,-0.00129790157327214,-0.00119637116162672,-0.00111895415071579,-0.000964053424309466,-8.38522700082473e-05,-0.00103658715313557
"Red.winged.Blackbird",-0.00925679900153791,-0.00149612729811036,0.00502985872488147,-0.00164529889029279,0.00440702931908972,-0.00998290819130516,0.0064649721282107,-0.000820016911937316,-0.000528023763226141,-0.00117838709769475,-0.00129440688641802,-0.000950135964302098,-0.000498093079271681,-0.00121653552695708,-0.00115524025391107,-0.0449220620176746,-0.00146645642165567,-0.00121508912430984,-0.0149669353782329,-0.000998317187476724,-0.00133194139599605,-0.00100757283676354,-0.00117447879254498,-0.00106277642406979,-0.000844094452141381,-0.000962528362956381,-0.000893610586163335,-0.000852059173499603,-0.000819562909914085,-0.000798256643481432,-0.000790762873224618,-0.000784965298918828,1,-0.000720954965161758,-0.00075461528947215,-0.00070633014965644,-0.00067181656306603,-0.00156959113182436,-0.00151494712109711,-0.00124988305131122,-0.018164920708689,-0.00107755615446868,-0.000928386297094224,-8.07499838628358e-05,-0.000998236492344118
"American.Robin",-0.000828111865949474,-0.00142691665099715,-0.00107861233646545,-0.00156918758543566,-0.00139555944212102,-0.00100193013796198,-0.00146462178684205,-0.000782083040140096,-0.000503597455123788,-0.00112387506941729,-0.00123452779835532,-0.000906182802684314,-0.000475051360574027,-0.00116025875748487,-0.00110179899550655,-0.00111870859148621,-0.00139861834528729,-0.00115887926522911,0.00793062996863994,-0.000952135168970233,-0.00127032596658028,-0.000960962653168871,-0.00112014756193686,-0.00101361252996846,-0.000805046756580251,-0.000918001930647365,-0.000852272280917777,-0.000812643031002191,-0.000781650040189197,0.00335174372350879,-0.000754182289314428,-0.000748652910014388,-0.000720954965161758,1,0.00739232077382491,-0.000673655412155868,-0.000640738419428244,-0.00149698205766743,-0.00144486587150973,-0.00119206362985808,-0.00109881255940752,-0.00102770855203157,-0.00088543927214927,-7.70145004954949e-05,-0.000952058206783537
"Eastern.Towhee",-0.000866775187960036,-0.00149353728551309,-0.00112897115609365,-0.00164245064010888,-0.00146071605478914,-0.00104870877880617,-0.00153300281855622,-0.000818597344140835,-0.000527109677773576,-0.00117634713930931,-0.0012921660810093,-0.000948491141619106,-0.000497230808159096,-0.00121442952812681,-0.0011532403660578,-0.00117093944614134,-0.00146391777363405,-0.00121298562941157,0.00865396576848371,-0.000996588956132459,-0.00132963561292618,-0.00100582858255255,-0.00117244560000067,-0.00106093660447036,-0.000842633202642725,-0.000960862087240115,-0.000892063617079823,-0.000850584135917104,-0.000818144128060705,-0.000796874745854756,-0.000789393948397425,-0.000783606410530691,-0.00075461528947215,0.00739232077382491,1,0.00228908299640208,-0.000670653551493702,-0.00156687394271284,-0.00151232452866615,-0.00124771932309636,-0.00115011449766065,-0.00107569074901966,-0.0102519977115293,-8.06101939694957e-05,-0.000996508400694805
"European.Starling",-0.000811313336439991,-0.00139797116373277,-0.00105673232011937,-0.00153735608410861,-0.00136725004645281,-0.000981605645968735,-0.00143491143813416,-0.000766218220942516,-0.000493381810283235,-0.0011010768832122,-0.00120948498408868,-0.000887800577796698,-0.000465414782923992,-0.00113672251585178,-0.00107944862993332,-0.00109601520903474,-0.001370246898733,-0.00113537100706333,0.0314293559520335,-0.000932820784778142,-0.00124455697435386,-0.000941469200471722,-0.00109742498948274,-0.000993051056698975,-0.000788716110621638,-0.000899379950748505,-0.000834983649212563,-0.000796158292045694,-0.000765794004542204,-0.000745885574211919,-0.000738883446291474,-0.000733466232322235,-0.00070633014965644,-0.000673655412155868,0.00228908299640208,1,-0.000627740823705719,-0.00146661526991227,-0.00141555627823162,-0.0011678822156232,-0.00107652277470142,-0.00100686113618316,-0.000867477836800125,-7.54522352841941e-05,-0.000932745383795475
"Indigo.Bunting",-0.00077166993016211,-0.00132966174945412,-0.00100509694472008,-0.00146223586963812,-0.00130044176580398,-0.000933641204020081,-0.00136479700199736,-0.000728778308560835,-0.000469273571608113,-0.00104727468834638,-0.0011503856171022,-0.000844419756332902,-0.000442673104094749,-0.00108117855953165,-0.00102670326181154,-0.00104246034401899,-0.00130329218214237,-0.00107989308985481,0.0264028868920405,-0.000887240129691529,-0.00118374387594386,-0.000895465955688154,-0.00104380123801268,-0.000944527354786029,-0.000750176878235174,-0.000855433323490761,-0.000794183634527242,-0.000757255410488743,-0.000728374820752523,-0.000709439181027887,-0.000702779199833652,-0.00069762668854415,-0.00067181656306603,-0.000640738419428244,-0.000670653551493702,-0.000627740823705719,1,-0.00139495168152157,-0.00134638759810929,-0.00111081569510735,-0.00102392037337498,-0.000957662628905695,-0.000825090050507541,-7.17653938585747e-05,-0.000887168413045944
"Purple.Martin",-0.0012285836759225,-0.00310654039362258,-0.00234824703317319,-0.00341627846021704,-0.00303827261082184,-0.0380212505747808,-0.00318862824890639,-0.00170267307040284,-0.0010963820734549,-0.00199315231193806,-0.000652063454750472,-0.002964333587307,-0.00103423436795497,-0.00252599946511398,-0.00239872671105347,-0.00243554059427078,-0.00304493214923258,-0.00252299617237625,-0.0423626489487097,-0.00207289357828122,-0.00276562679781717,-0.00209211189507478,-0.00243867337699289,-0.00220673594749094,-0.0017526673799227,-0.00199858210147491,-0.00185548207401293,-0.00176920522977991,-0.00170173038616341,-0.00165749031555311,-0.00164193034279372,-0.00162989233052781,-0.00156959113182436,-0.00149698205766743,-0.00156687394271284,-0.00146661526991227,-0.00139495168152157,1,0.000133745977906569,-0.00259524185616208,-0.00239222494070262,-0.00223742439863342,-0.00192768993417323,-0.000167668277272333,-0.00207272602389636
"White.eyed.Vireo",-0.0017401165785509,-0.011740583918994,-0.00226649476440127,-0.0108531878646342,-0.00293249767506192,-0.00210536198707694,-0.00307761880657098,-0.00164339592259174,-0.00105821244279863,-0.00236160562470723,-0.00259412088744412,-0.0019041675200977,-0.000998228358013187,-0.00243805889315861,-0.00231521703425105,-0.00235074927272108,-0.00293892536717776,-0.00243516015756139,-0.045440975691939,-0.00200072751118808,-0.00266934379943413,-0.00201927675825531,-0.00235377299021654,-0.00212991026955362,-0.00169164972177724,-0.00192900312668461,-0.00179088500774465,-0.00170761182013671,-0.00164248605712064,-0.0015997861677996,-0.00158476790255954,-0.00157314898368557,-0.00151494712109711,-0.00144486587150973,-0.00151232452866615,-0.00141555627823162,-0.00134638759810929,0.000133745977906569,1,-0.00250489066791138,-0.0023089416176312,-0.00215953032777548,-0.00186057901126715,-0.00158841773254047,-0.0020005657900699
"Blue.gray.Gnatcatcher",-0.00143565553447256,-0.00247377301481648,-0.00186993549310112,-0.00272042091689309,-0.00241941061244103,-0.00173699545540343,-0.00253914049616728,-0.00135585769406512,-0.000873061362024793,-0.00194840519718278,-0.00214023822027579,-0.00157100315719521,-0.000823572445957925,-0.00201148175155492,-0.00191013302769397,-0.0019394483364729,-0.00242471367769171,-0.00200909019580839,0.0183935875640187,-0.00165066844360555,-0.00220229968859858,-0.00166597220516992,-0.00194194300654875,-0.00175724862581395,-0.00139566872437991,-0.00159149337979756,-0.00147754122032082,-0.00140883800001001,-0.00135510702401505,-0.00131987815878798,-0.00130748757767645,-0.00129790157327214,-0.00124988305131122,-0.00119206362985808,-0.00124771932309636,-0.0011678822156232,-0.00111081569510735,-0.00259524185616208,-0.00250489066791138,1,-0.00190495559492158,-0.00178168618421765,-0.00153504115056101,-0.000133516132804384,-0.0016505350181666
"White.breasted.Nuthatch",-0.00132334910045806,-0.010267946549815,-0.0105643089398762,0.00220713611823511,-0.00130120690206814,-0.00160111622754443,-0.0138213195664946,-0.00124979357283599,-0.000804764750553255,-0.00179598810655295,-0.00197281468678235,-0.00144810894046034,-0.000759147183534419,-0.00185413039729328,-0.00872066162642733,-0.00178773191049566,-0.00223503659979324,-0.00185192592479284,-0.0287756766253901,-0.00152154228333216,-0.00203002129819149,-0.00153564888384564,-0.00179003143104327,-0.00161978506153729,-0.00128649032208425,-0.00146699628286097,-0.00136195821201609,-0.00129862941021526,-0.0108566074502821,-0.00121662859384157,-0.00120520728561385,-0.00119637116162672,-0.018164920708689,-0.00109881255940752,-0.00115011449766065,-0.00107652277470142,-0.00102392037337498,-0.00239222494070262,-0.0023089416176312,-0.00190495559492158,1,-0.0016423109531279,-0.00141496011890302,-0.000123071621291258,-0.00152141929530998
"Tufted.Titmouse",-0.00123771536484561,-0.00213270300295512,-0.00161211922742423,-0.00234534446936296,-0.00208583578510622,-0.00149750821990154,-0.00218905798093296,-0.00116891960515097,-0.000752688535852795,-0.00167976996681453,-0.00184515412371414,-0.001354402013012,-0.000710022875229654,-0.00173414987803502,-0.00164677455037588,-0.00167204802805191,-0.00209040769332798,-0.00173208805664246,0.0650030001793178,-0.00142308349451445,-0.00189865890328236,-0.00143627725887744,-0.00167419874694582,-0.0015149689962521,-0.00120324171287655,-0.00137206715812166,-0.00127382608618273,-0.00121459528230868,-0.00116827243329628,-0.00113790072731907,-0.00112721849035281,-0.00111895415071579,-0.00107755615446868,-0.00102770855203157,-0.00107569074901966,-0.00100686113618316,-0.000957662628905695,-0.00223742439863342,-0.00215953032777548,-0.00178168618421765,-0.0016423109531279,1,-0.00132339824707163,-0.000115107673852597,-0.00142296846503006
"Blue.Jay",-0.00106637410928461,-0.00183746548660525,-0.00138894793910841,-0.00202067025304698,-0.00179708626121321,-0.00129020293316228,-0.00188601904839486,-0.00100710198658936,-0.000648491236180822,-0.0014472335506543,-0.00158972300179368,-0.00116690741769946,-0.00061173193179125,-0.00149408546106749,-0.00141880580481338,-0.00144058058681153,-0.00180102526423126,-0.00149230906480261,-0.00756219831521894,-0.00122608108213134,-0.00163582092808189,-0.00123744838766878,0.00241309279926967,-0.00130524655333304,-0.00103667276521438,-0.0011821271151491,-0.00109748589749956,-0.00104645462042463,-0.00218144453992927,-0.000980377160220922,-0.000971173702581533,-0.000964053424309466,-0.000928386297094224,-0.00088543927214927,-0.0102519977115293,-0.000867477836800125,-0.000825090050507541,-0.00192768993417323,-0.00186057901126715,-0.00153504115056101,-0.00141496011890302,-0.00132339824707163,1,-9.91729170233675e-05,-0.00122598197657977
"Eastern.Meadowlark",-9.27520067734663e-05,-0.0734917747976302,-0.00012080911148771,-0.000175755599620911,-0.000156308518390767,-0.0175027419176472,-0.0382170160077071,-8.75965849774518e-05,-5.64050299112442e-05,0.00284158802266375,-0.000138272298011081,-0.000101496279559035,-5.32077474378235e-05,-0.00951915420927926,-0.000123406114676362,-0.00012530006044062,-0.000156651128391736,-0.000129799344602931,0.00818355141710969,-0.000106643137567317,-0.000142281843192365,-0.000107631852869976,-0.00012546123117427,-0.000113528860183045,-9.01686176585171e-05,-0.00010282007152721,-9.5458074715403e-05,-9.10194322955441e-05,-8.75480871645084e-05,-8.52720899857229e-05,-8.4471583711354e-05,-8.38522700082473e-05,-8.07499838628358e-05,-7.70145004954949e-05,-8.06101939694957e-05,-7.54522352841941e-05,-7.17653938585747e-05,-0.000167668277272333,-0.00158841773254047,-0.000133516132804384,-0.000123071621291258,-0.000115107673852597,-9.91729170233675e-05,1,0.0308923944559861
"Eastern.Wood.Pewee",-0.00114660627123709,-0.0210061070056826,-0.0014934500036501,-0.00217270202274522,-0.00193229595422514,-0.00138727559254499,-0.00202791989202819,-0.0010828746155262,-0.000697282606332301,-0.00155612092480205,-0.00170933103825005,-0.00125470353362659,0.00158274287243468,-0.00160649789272678,0.00907628203236458,-0.00154896740335212,-0.00193653132108533,-0.00160458784344883,-0.00977943667337726,-0.00131832932324289,-0.00175889729357546,-0.00225487685123632,-0.0015509598063241,-0.0014034510689371,-0.00111467024889879,-0.00127106833505052,-0.00118005885712237,-0.00112518807414484,-0.00108227508244436,-0.00105413905898467,-0.00104424314895226,-0.00103658715313557,-0.000998236492344118,-0.000952058206783537,-0.000996508400694805,-0.000932745383795475,-0.000887168413045944,-0.00207272602389636,-0.0020005657900699,-0.0016505350181666,-0.00152141929530998,-0.00142296846503006,-0.00122598197657977,0.0308923944559861,1
