"year","common_name","sci_name","count"
"1992","Cooper's Hawk","Accipiter cooperii",2
"1993","Cooper's Hawk","Accipiter cooperii",3
"1994","Cooper's Hawk","Accipiter cooperii",2
"1995","Cooper's Hawk","Accipiter cooperii",1
"1996","Cooper's Hawk","Accipiter cooperii",NA
"1997","Cooper's Hawk","Accipiter cooperii",1
"1998","Cooper's Hawk","Accipiter cooperii",4
"1999","Cooper's Hawk","Accipiter cooperii",3
"2000","Cooper's Hawk","Accipiter cooperii",2
"2001","Cooper's Hawk","Accipiter cooperii",2
"2002","Cooper's Hawk","Accipiter cooperii",1
"2003","Cooper's Hawk","Accipiter cooperii",3
"2004","Cooper's Hawk","Accipiter cooperii",8
"2005","Cooper's Hawk","Accipiter cooperii",6
"2006","Cooper's Hawk","Accipiter cooperii",5
"2007","Cooper's Hawk","Accipiter cooperii",7
"2008","Cooper's Hawk","Accipiter cooperii",3
"2009","Cooper's Hawk","Accipiter cooperii",4
"2010","Cooper's Hawk","Accipiter cooperii",3
"2011","Cooper's Hawk","Accipiter cooperii",4
"2012","Cooper's Hawk","Accipiter cooperii",5
"2013","Cooper's Hawk","Accipiter cooperii",8
"2014","Cooper's Hawk","Accipiter cooperii",6
"2015","Cooper's Hawk","Accipiter cooperii",3
"2016","Cooper's Hawk","Accipiter cooperii",4
"2017","Cooper's Hawk","Accipiter cooperii",3
"2018","Cooper's Hawk","Accipiter cooperii",5
"2019","Cooper's Hawk","Accipiter cooperii",9
"2020","Cooper's Hawk","Accipiter cooperii",5
"2021","Cooper's Hawk","Accipiter cooperii",4
"2022","Cooper's Hawk","Accipiter cooperii",4
"2023","Cooper's Hawk","Accipiter cooperii",5
"2024","Cooper's Hawk","Accipiter cooperii",1
"1923","Accipiter sp.","Accipiter sp.",NA
"1928","Accipiter sp.","Accipiter sp.",NA
"1929","Accipiter sp.","Accipiter sp.",NA
"1930","Accipiter sp.","Accipiter sp.",NA
"1931","Accipiter sp.","Accipiter sp.",NA
"1932","Accipiter sp.","Accipiter sp.",NA
"1933","Accipiter sp.","Accipiter sp.",NA
"1934","Accipiter sp.","Accipiter sp.",NA
"1935","Accipiter sp.","Accipiter sp.",NA
"1936","Accipiter sp.","Accipiter sp.",NA
"1937","Accipiter sp.","Accipiter sp.",NA
"1938","Accipiter sp.","Accipiter sp.",NA
"1940","Accipiter sp.","Accipiter sp.",NA
"1941","Accipiter sp.","Accipiter sp.",NA
