"","dif_mass","dif_tailLen","dif_handWing","dif_Secondary","dif_KippsDist","dif_wingLen","dif_tarsusLen","dif_beakDep","dif_width","dif_beakLenNare","dif_beakLenCulm","dif_clutch","dif_ESI","dif_DB","dif_HB","dif_normMax","dif_elevaRange","dif_weight","dif_LAT","dif_mig","dif_habDen","dif_RLM","dif_primHab","dif_primDiet","dif_INwt","dif_FRwt","dif_NEwt","dif_SEwt","dif_VEwt","dif_FIwt","dif_SCwt","dif_PLwt","dif_MSwt","dif_habitat","dif_trophicLvl","dif_trophicNic","dif_primLife","sp1","sp2","corr"
"40",146.2,-2.8,3.7,19.4,11.5,31.2,9.5,1.8,2.1,0.9,2.9,1,0.221848749616356,0,-2,-500,-500,171.841666666667,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,"Northern.Bobwhite","Vesper.Sparrow",-0.00120939233022022
"41",151.9,5.59999999999999,3.5,24.2,12.7,37,8.9,3,2.9,0.299999999999999,2.1,1,0.397940008672038,-1,-2,-500,-500,174.616666666667,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,"Northern.Bobwhite","Savannah.Sparrow",0.267183458687665
"42",150,-10.4,7.5,26.8,17.1,43.5,8.1,1.7,1.7,0.0999999999999996,1.5,0,0.301029995663981,-1,-1,0,0,170.55,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,"Northern.Bobwhite","Song.Sparrow",0.433207862207456
"43",155.8,-0.200000000000003,8.5,29,18.4,47.5,7.7,3.2,2.9,0.4,1,0,0.477121254719662,-1,-3,1500,1500,178.716666666667,-1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,"Northern.Bobwhite","Swamp.Sparrow",0.271816697855659
"44",131.9,-34.9,14,8.60000000000001,19.2,27.5,2.6,0.200000000000001,1.5,-1.2,-0.5,1,0.522878745280338,-2,-2,520,520,154.9,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,"Northern.Bobwhite","Eastern.Towhee",0.00463323916799418
"45",80.1,-10.6,2.8,-6.69999999999999,1.9,1.7,-10.2,0.200000000000001,0.9,-11.4,-18.6,0,0.1249387366083,0,-1,0,0,97.5166666666667,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,"Northern.Bobwhite","Eastern.Meadowlark",-0.257916980351676
"46",139.1,-16.5,0.200000000000003,12,4.8,17.7,6.2,2,2,-4.7,-6.2,1,0.397940008672038,-1,-2,1500,1500,162.583333333333,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,"Northern.Bobwhite","Baltimore.Oriole",0.0791663948907676
"47",121.1,-32.1,3.6,-9.5,2.5,-8.2,1.6,-0.4,1.4,-6.8,-7.8,3,0.1249387366083,0,-1,0,0,139.616666666667,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,"Northern.Bobwhite","Red.winged.Blackbird",0.205406936447742
"48",131.6,-13,-5.4,10.6,-3.6,4.8,4.9,-0.5,1.2,-2.5,-2.7,4,0.1249387366083,0,-1,-395,-395,153.266666666667,0,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,"Northern.Bobwhite","Brown.headed.Cowbird",0.178379707967776
"49",112.3,-33.2,-0.399999999999999,-3.19999999999999,-1.8,-4.60000000000001,-0.599999999999998,1.8,2,-6.7,-8.1,3,0.477121254719662,-1,-3,1035,1035,133.566666666667,-1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,"Northern.Bobwhite","Rusty.Blackbird",0.00077220652799903
"50",66.7,-61.4,1.7,-18.8,-4,-23.1,-6,-2.1,-0.3,-13.2,-18.1,-1,0.477121254719662,-1,-3,1500,1500,88.2666666666667,-1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,"Northern.Bobwhite","Common.Grackle",0.450968612351434
"51",161,10.2,2.1,29.7,13.3,41,12.3,5.1,4.1,-0.4,1.2,4,-0.477121254719662,1,1,0,0,185.736666666667,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,"Northern.Bobwhite","Black.and.white.Warbler",0.176619099430668
"52",162.7,10.3,4.6,33.4,16.5,49.9,11.2,4.4,3.2,0.8,3.1,2,-0.176091259055681,0,1,-850,-850,186.876666666667,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,"Northern.Bobwhite","Orange.crowned.Warbler",-0.0946103211874539
"53",162.4,7.4,11.5,35.1,21.8,55.1,9.4,5.1,4,0.699999999999999,2.2,0,-0.477121254719662,1,1,-2100,-2100,184.741666666667,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,"Northern.Bobwhite","Common.Yellowthroat",-0.354192947352013
"54",161.6,5.8,7.5,29,17.6,46.1,10.5,5.3,4.2,1.5,2,4,0.425968732272281,-2,-1,610,610,186.066666666667,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,"Northern.Bobwhite","Palm.Warbler",-0.176063088383779
"55",160.1,2.8,-1,28.2,9.7,38,11,4.6,3.9,0.6,1.5,4,0.301029995663981,-1,-1,-550,-550,183.766666666667,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,"Northern.Bobwhite","Pine.Warbler",-0.325871154815591
"56",129.3,-45,12.1,1.7,16.1,16.3,5.1,-3.9,-2.3,-6.1,-2.7,1,0.1249387366083,-2,1,500,500,151.383333333333,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,"Northern.Bobwhite","Northern.Cardinal",-0.271816697855659
"58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Mourning.Dove","Mourning.Dove",1
"59",-77.4,58.8,6,0.799999999999997,13.1,14.6,-11.7,-6,-3.7,-51.3,-52.3,-1,0.204119982655925,-1,1,2000,2000,-65,-1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,"Mourning.Dove","American.Woodcock",-0.366923076923077
"60",47.3,38.9,7.5,-7.30000000000001,12.5,4.70000000000002,-1,-4,-4.9,-11,-7.7,-7,0.681241237375587,-2,-3,100,100,50.45,-1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,"Mourning.Dove","Red.headed.Woodpecker",-0.0846153846153846
"61",49.4,45.4,8.4,1.19999999999999,17.6,17.2,-1.5,-4.2,-4.4,-12.3,-13,-6,0.380211241711606,-2,1,1900,1900,62.2666666666667,-1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,"Mourning.Dove","Red.bellied.Woodpecker",-0.158461538461538
"62",68.6,48.2,2.7,9,10.9,19.6,-0.899999999999999,-2.9,-4,-9.9,-5.2,-3,0.602059991327962,-4,1,-500,-500,78.5166666666667,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,"Mourning.Dove","Yellow.bellied.Sapsucker",0.00153846153846154
"63",93.3,63.6,9.6,25.7,28.8,53.1,3.8,-1.4,-2.2,-2.9,2.2,-4,0.380211241711606,-2,1,-250,-250,100.966666666667,-1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,"Mourning.Dove","Downy.Woodpecker",0.116923076923077
"64",-167.7,-45.1,11.3,-75,-3.3,-84,-9.7,-8.5,-11.9,-28.1,-32.5,-5,0.380211241711606,-2,1,200,200,-160.766666666667,-1,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,"Mourning.Dove","Pileated.Woodpecker",-0.0984615384615385
"65",99.2,52.1,16,24.9,35.7,60.5,1.9,-0.7,-2.8,-0.399999999999999,2.2,-4,-0.397940008672037,0,3,0,0,107.866666666667,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,"Mourning.Dove","Eastern.Phoebe",0.233076923076923
"66",103.6,70.8,7.3,38.4,31,69.1,1,-1,-1.3,1.8,5.9,-2,-0.397940008672037,-1,4,100,100,110.55,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,"Mourning.Dove","Blue.headed.Vireo",-0.0976923076923077
"67",30.9,0.799999999999997,19.2,-16.7,30.2,14.4,-15.1,-5.5,-7.4,-9.3,-10.3,-5,0.255272505103306,-2,2,1500,1500,51.2933333333333,-1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,"Mourning.Dove","Blue.Jay",-0.0161538461538462
"68",-329.9,-44.9,0.100000000000001,-94.6,-53.8,-149.1,-35.4,-13.2,-11.2,-23.9,-30.3,-4,0.903089986991944,-4,-3,700,700,-328.933333333333,-1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,"Mourning.Dove","American.Crow",0.0761538461538462
"69",-165.7,-34.9,0.300000000000004,-84.6,-47.5,-132.3,-27.5,-11.4,-11.1,-17.9,-23.7,-4,0.778151250383644,-4,-1,1500,1500,-145.825,-1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"Mourning.Dove","Fish.Crow",0.246243231654657
"70",-809.1,-106.5,-3.2,-161.1,-114.1,-275.3,-47.5,-24.5,-19.2,-39.9,-57.4,-7,0.903089986991944,-4,-3,-3500,-3500,-751.333333333333,-1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"Mourning.Dove","Common.Raven",-0.0661003400814065
"71",87.3,62.4,1.5,29.6,19.6,49,2.9,-1.5,-1.8,2.7,4.5,-4,0.556302500767287,-2,-1,-500,-500,93.975,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,"Mourning.Dove","Cedar.Waxwing",0.216923076923077
"72",97.3,53.6,20.5,26.4,40.6,66.5,-0.899999999999999,-2.1,-2.2,0.5,6.3,-2,0.556302500767287,-2,-1,1890,1890,105.2,-1,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,"Mourning.Dove","Tufted.Titmouse",0.121946530434292
"73",108.9,72.6,17.1,44.6,41.7,85.6,4.8,-0.3,-0.8,2.7,10.7,-1,0.556302500767287,-2,-1,650,650,116.583333333333,-1,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,"Mourning.Dove","Carolina.Chickadee",0.340769230769231
"74",112.7,80,14.6,46.7,40.5,86.4,1.2,1.2,0,3,9,-7,0.477121254719662,-2,0,-500,-500,120.025,-1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,"Mourning.Dove","Ruby.crowned.Kinglet",-0.116923076923077
"75",112.7,79.4,13,48.2,39.7,87.2,3.4,0.9,0.6,3.9,10.6,-6,-0.397940008672037,-1,4,-1000,-1000,120.775,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,"Mourning.Dove","Golden.crowned.Kinglet",0.0984615384615385
"76",99.9,71.5,25.2,39,46.3,85,-1.8,-0.5,-0.5,-1.8,2.7,-3,-0.221848749616356,0,2,500,500,107.2,-1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,"Mourning.Dove","Carolina.Wren",-0.185384615384615
"77",110,94.6,19.6,53.6,45.4,98.6,1.5,1.1,0.4,0.800000000000001,7.1,-6,-0.397940008672037,0,3,500,500,118,-1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,"Mourning.Dove","Winter.Wren",-0.0753846153846154
"78",97.9,73.4,5.4,30.7,25.5,55.8,1.1,-0.8,-1.3,-2.9,0.5,-7,-0.0969100130080562,-1,3,-1000,-1000,105.28,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,"Mourning.Dove","White.breasted.Nuthatch",-0.0276923076923077
"79",108.7,86.8,13.3,41.7,38,79.4,4.8,-0.5,-0.6,-1.1,4.3,-6,0.204119982655925,-1,1,1900,1900,116.924,-1,1,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,"Mourning.Dove","Brown.headed.Nuthatch",-0.201538461538462
"80",109.1,86.6,10.4,42.7,35.8,78,5.1,0.2,-0.6,-1.1,5.6,-6,0.301029995663981,-1,0,-575,-575,116.4,-1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,"Mourning.Dove","Red.breasted.Nuthatch",-0.0207732260045797
"81",70.4,4.60000000000001,16,1.09999999999999,30,32.1,-12.6,-1.9,-1.9,-2.9,-2.5,-4,0.204119982655925,-1,1,-500,-500,78.85,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,"Mourning.Dove","Northern.Mockingbird",-0.173076923076923
"82",50.1,0.400000000000006,22.7,4.89999999999999,39.1,41.9,-14.6,-2.9,-2.7,-10,-10.5,-4,0.0791812460476249,-2,3,1980,1980,56.8333333333333,-1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,"Mourning.Dove","Brown.Thrasher",0.249230769230769
"83",91.4,59.7,3.8,27.2,21.7,48.6,-0.0999999999999979,-1.1,-1.5,0.200000000000001,4.2,-1,0.0791812460476249,-1,2,60,60,97.1166666666667,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,"Mourning.Dove","Eastern.Bluebird",0.479230769230769
"84",88.8,54.5,9.7,26.3,29.1,55.4,-9.3,-0.3,-0.7,0.100000000000001,0.800000000000001,-3,0.556302500767287,-2,-1,-1000,-1000,99,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,"Mourning.Dove","Hermit.Thrush",-0.156153846153846
"85",40.4,26.5,7.6,1.3,16.2,17.4,-13.1,-3.4,-2.9,-3.2,-3.8,-2,0.447158031342219,-1,-2,-1000,-1000,47.3666666666667,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,"Mourning.Dove","American.Robin",0.162307692307692
"86",92.4,65,9.3,37.2,32.7,69.5,1.7,-4,-3.6,0.200000000000001,6.1,-7,-0.221848749616356,0,2,-2100,-2100,99.56,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,"Mourning.Dove","House.Sparrow",0.103846153846154
"87",95.6,62.7,8.5,33.4,30.3,63.3,3,-5.6,-4.8,0.200000000000001,7.4,-5,0.681241237375587,-3,-1,1500,1500,102.721666666667,-1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,"Mourning.Dove","Purple.Finch",0.0969230769230769
"88",97.5,56,9.1,35.8,31.9,67.2,2.2,-4.8,-3.9,0.9,9,-5,0.447158031342219,-1,-2,-1000,-1000,105.275,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,"Mourning.Dove","House.Finch",0.395384615384615
"89",106.1,73.9,9,41.3,34,74.6,6.1,-2.9,-1.6,1.1,8.1,-5,-0.0969100130080562,0,1,1500,1500,114.05,-1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,"Mourning.Dove","American.Goldfinch",0.522307692307692
"90",106.2,73.9,1.4,44.6,27.5,72,5.7,-2.1,-1.6,0.300000000000001,5.6,-1,0.380211241711606,-2,1,-1500,-1500,112.433333333333,-1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,"Mourning.Dove","Pine.Siskin",0.105384615384615
"91",106.7,66.2,12.4,40.6,36.8,76.4,3.3,-1.5,-1.3,2.3,6.5,-5,0.301029995663981,-1,0,-1300,-1300,113.65,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,"Mourning.Dove","Chipping.Sparrow",-0.0869230769230769
"92",106.4,60.2,19.9,38.1,42.3,80,1.7,-1.8,-1.6,2.7,9.2,-4,0.204119982655925,-1,1,1500,1500,113.183333333333,-1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,"Mourning.Dove","Field.Sparrow",0.263846153846154
