English Name (BirdLife > IOC > Clements>AviList),AviList v1 2025,RR,ISL,RLM,LAT,Female MinMass,Female MaxMass,Male MinMass,Male MaxMass,Unsexed MinMass,Unsexed MaxMass,Average Mass,Xmin,NormMin,Elevational Range,NormMax,Xmax,F,BM,WD,SH,SV,G,PL,R,D,A,RV,C,W,SE,O,O- DESC,Primary Habitat,HB,Primary Diet,IN-Wt,FR-Wt,NE-Wt,SE-Wt,VE-Wt,FI-Wt,SC-Wt,PL-Wt,MS-Wt,SUM-Wt,Desc,DB,Diet_Lit,ESI,Social_1,Social_2,Social_3,Social_4,Social_5,Social_6,Mono,Poly,Coop,Nest_Type,Nest_SBS,Brd1,Brd2,Clutch_Min,Clutch_Max,Incu_Sex,Incu1,Incu2,Fldg1,Fldg2,Para.1,Para.2,BrS1,BrS2,Prod1,Prod2,Flightlessness,Mig,Alt,Irreg,Disp,Sed,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle
Downy Woodpecker,Dryobates pubescens,0,0,N,3,20.9,30.1,23.2,29.1,20.7,32.2,26.033333333333335,NA,0,2750,2750,NA,1,NA,2,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,Forest,4,Invertebrate,8,1,0,1,0,0,0,T,0,10,NA,3,1,0.9208187539523752,0,1,0,1,0,0,NA,NA,3,CV,"C,P,T",NA,NA,3,7,B,12,NA,20,23,0,0,NA,NA,NA,NA,No,NA,NA,1,NA,1,17.4,12.2,4.9,4.8,15.8,91.3,24.3,65.9,27,58.6,25.6,Dunning,NA,NO,NA,NA,Woodland,2,1,Carnivore,Invertivore,Insessorial
Eastern Phoebe,Sayornis phoebe,0,0,LN,2,16.7,20.5,19.4,20,15,23.2,19.133333333333333,NA,0,2500,2500,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,Woodland,2,Invertebrate,10,T,0,0,0,0,0,0,0,10,NA,1,1,1.6989700043360187,NA,NA,NA,NA,NA,NA,1,1,0,NA,"B,R",2,NA,2,6,NA,16,NA,15,18,1,1,39.8,57.1,5.97,NA,No,1,NA,NA,NA,NA,17.4,9.7,5.5,4.1,17.7,83.9,17.4,66.7,20.6,70.1,19.7,Dunning,NA,NO,NA,NA,Forest,2,3,Carnivore,Invertivore,Insessorial
Blue Jay,Cyanocitta cristata,0,0,N,3,64.5,86.8,65,78.24,59.9,99.8,75.70666666666666,NA,0,1000,1000,NA,2,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,Woodland,3,Omnivore,3,2,0,5,T,0,T,0,0,10,NA,3,1,1.045757490560675,0,1,1,0,0,0,1,0,NA,"CP,PL","B,S,T",NA,NA,2,7,F,17,18,17,21,0,1,NA,NA,NA,NA,No,1,NA,1,1,1,29.9,18.6,10.1,8.9,34.7,130,22.9,108.3,17.4,121.4,88,Dunning,NA,NO,NA,NA,Woodland,2,1,Omnivore,Omnivore,Terrestrial
American Crow,Corvus brachyrhynchos,0,0,N,3,347.6,610,378,637,313,450,455.93333333333334,NA,0,1800,1800,NA,6,NA,5,7,1,NA,NA,NA,NA,2,3,8,4,NA,NA,NA,Savanna,8,Omnivore,2,3,0,3,1,T,1,0,T,10,Eggs,5,1,0.3979400086720376,0,1,0,0,0,0,1,0,1,CP,"B,S,T",1,2,3,7,F,16,20,29,43,0,0,NA,NA,NA,NA,No,1,NA,1,1,1,49.9,33.2,13.9,16.6,55,293.5,106.9,186.2,36.5,167.1,448.8,Dunning,NA,NO,NA,NA,Human Modified,2,2,Omnivore,Omnivore,Terrestrial
Cedar Waxwing,Bombycilla cedrorum,0,0,L,1,26.4,40.2,25.6,39.9,NA,NA,33.025,NA,0,3000,3000,NA,6,NA,1,2,NA,NA,NA,NA,NA,5,3,NA,4,NA,NA,NA,Woodland,6,Fruit,1.2,8.4,0.4,0,0,0,0,T,T,10,NA,3,1,0.7447274948966939,0,1,1,0,0,0,1,0,0,CP,"S,T",1,2,2,6,F,11,13,14,18,0,1,NA,45,2.6,3.8,No,1,NA,1,NA,NA,15.1,6.6,4.5,4.9,16.7,95.4,33.5,62,35.1,59.8,31.6,Dunning,NA,NO,NA,NA,Woodland,2,3,Herbivore,Frugivore,Insessorial
Tufted Titmouse,Baeolophus bicolor,0,0,N,3,NA,NA,NA,NA,17.5,26.1,21.8,NA,0,610,610,1500,1,NA,5,6,NA,NA,NA,NA,NA,4,2,NA,3,NA,NA,NA,Forest,6,Invertebrate,6.6,0.5,0,2.9,0,0,0,0,0,10,NA,3,1,0.7447274948966939,0,0,0,1,0,0,1,0,2,CP,T,NA,NA,5,7,F,12,14,15,18,0,1,NA,NA,NA,NA,No,NA,NA,1,NA,1,13.3,8.8,4.9,5.5,20.5,77.9,12.5,65.2,16.1,68.6,21.6,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial
Carolina Chickadee,Poecile carolinensis,0,0,N,3,9.4,12,9,12.1,8,12,10.416666666666666,NA,0,1850,1850,NA,1,NA,4,3,NA,NA,NA,NA,NA,6,2,NA,5,NA,NA,NA,Forest,6,Invertebrate,7,1,0,2,0,0,0,0,0,10,NA,3,1,0.7447274948966939,0,0,1,0,0,0,1,0,NA,NA,T,NA,NA,5,6,F,12,15,16,19,0,1,NA,NA,NA,NA,No,NA,NA,1,NA,1,8.9,6.6,3.5,3.7,14.8,58.8,11.4,47,19.5,49.6,10,Dunning,NA,NO,NA,NA,Forest,2,1,Omnivore,Invertivore,Insessorial
Ruby-crowned Kinglet,Corthylio calendula,0,0,N,3,4,8.9,5,10,NA,NA,6.975,NA,0,3000,3000,NA,1,NA,2,3,NA,NA,NA,NA,NA,NA,4,NA,5,NA,NA,NA,Forest,5,Invertebrate,8,1,0,1,0,0,0,0,T,10,Sap,3,1,0.8239087409443188,NA,NA,NA,NA,NA,NA,NA,NA,0,PN,T,1,NA,5,12,NA,15,16,19,NA,0,1,NA,NA,NA,NA,No,1,1,NA,NA,NA,10.6,6.3,2.7,2.2,18.4,58,12.6,44.9,22,42.2,6.2,Dunning,NA,NO,NA,NA,Forest,1,3,Carnivore,Invertivore,Insessorial
Golden-crowned Kinglet,Regulus satrapa,0,0,LN,2,4.5,7.8,4.9,7.7,NA,NA,6.2250000000000005,NA,0,3500,3500,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,1,Invertebrate,9,1,0,T,0,0,0,0,0,10,NA,2,1,1.6989700043360187,NA,NA,NA,NA,NA,NA,NA,NA,0,PN,T,2,NA,5,11,F,14,15,16,19,0,1,NA,NA,NA,NA,No,1,1,NA,NA,1,9,5.4,2.1,2.5,16.2,57.2,13.4,43.4,23.6,42.8,6.2,Dunning,NA,NO,NA,NA,Forest,1,3,Carnivore,Invertivore,Insessorial
Carolina Wren,Thryothorus ludovicianus,0,0,N,3,13.6,23.8,19.9,22.5,10,29,19.8,NA,0,2000,2000,NA,1,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,Forest,3,Invertebrate,10,T,0,T,T,0,0,0,0,10,NA,1,1,1.5228787452803376,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,3,6,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,No,NA,NA,1,NA,1,16.9,11.1,3.2,3.9,21.4,59.4,6.8,52.6,11.4,50.7,19,Dunning,NA,NO,NA,NA,Woodland,2,1,Carnivore,Invertivore,Insessorial
