"","dif_mig","dif_habDen","dif_mass","dif_tailLen","dif_handWing","dif_Secondary","dif_KippsDist","dif_wingLen","dif_tarsusLen","dif_beakDep","dif_width","dif_beakLenNare","dif_beakLenCulm","dif_clutchMin","dif_clutchMax","dif_ESI","dif_DB","dif_HB","dif_normMax","dif_elevaRange","dif_weight","dif_LAT","dif_RLM","dif_primHab","dif_primDiet","dif_INwt","dif_FRwt","dif_NEwt","dif_SEwt","dif_VEwt","dif_FIwt","dif_SCwt","dif_PLwt","dif_MSwt","dif_trophicLvl","dif_trophicNic","dif_primLife","sp1","sp2","corr"
"917",0,0,21,0,2.3,11.5,1.1,14.5,12.6,3.6,3.3,1.4,0.199999999999999,0,0,0.176091259055681,2,1,1175,1225,25.115,0,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,"Wood.Thrush","Summer.Tanager",0.244782771765939
"918",2,1,7.5,30.5,11.4,1.2,14.8,13,7.6,6.9,4.2,2.8,1.4,2,1,0.176091259055681,0,1,675,725,9.24166666666667,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,"Wood.Thrush","Northern.Cardinal",0.00513259203405618
"919",0,1,22.7,6.89999999999999,4,11.7,9.1,20.4,11.8,5.5,2.3,0.4,2,0,1,0,2,3,1175,1225,24.875,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,"Wood.Thrush","Blue.Grosbeak",0.19917864476386
"920",0,1,35.4,22.4,4.4,28.6,14.3,41.7,14.9,0.8,0,4.3,7.3,0,0,0.301029995663981,0,3,975,1025,38.225,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,"Wood.Thrush","Indigo.Bunting",-0.232808771749436
"944",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"American.Robin","American.Robin",1
"945",1,1,57.1,29.5,1.5,34.5,15.7,49.8,15.3,1.4,1,4.1,12.8,0,3,0,0,0,0,0,57.9083333333333,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,"American.Robin","House.Finch",-0.20886837201088
"946",2,2,65.7,47.4,1.4,40,17.8,57.2,19.2,0.5,1.3,4.3,11.9,0,3,0.544068044350275,1,3,2500,2500,66.6833333333333,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,"American.Robin","American.Goldfinch",0.10373162308276
"947",0,1,66.3,39.7,4.8,39.3,20.6,59,16.4,1.9,1.6,5.5,10.3,0,3,0.146128035678238,0,2,300,300,66.2833333333333,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,"American.Robin","Chipping.Sparrow",-0.175513708922506
"948",1,1,38.5,4,15.4,19.5,25.8,44.7,5.7,1.4,0.0999999999999996,2.7,8,0,2,0.154901959985743,2,2,1520,1520,38.5166666666667,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,"American.Robin","Eastern.Towhee",-0.0181475798632404
"949",2,1,53.6,23.9,7.7,29.8,20.6,50.5,6.6,0.5,0.8,2,7.1,1,1,0.544068044350275,0,5,1400,1400,52.1333333333333,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,"American.Robin","Yellow.breasted.Chat",-0.0736427481257252
