"year","Acadian Flycatcher","American Crow","American Goldfinch","American Redstart","American Robin","Barn Swallow","Black-and-white Warbler","Black-thr Blue Warbler","Black-throated Blue Warbler","Blue Grosbeak","Blue Jay","Blue-gray Gnatcatcher","Bobolink","Brown Thrasher","Brown-headed Cowbird","Brown-headed Nuthatch","Carolina Chickadee","Carolina Wren","Cedar Waxwing","Chimney Swift","Chipping Sparrow","Cliff Swallow","Common Grackle","Common Yellowthroat","Downy Woodpecker","Eastern Bluebird","Eastern Kingbird","Eastern Meadowlark","Eastern Phoebe","Eastern Towhee","Eastern Whip-poor-will","Eastern Wood-Pewee","European Starling","Field Sparrow","Fish Crow","Gray Catbird","Great Crested Flycatcher","Hooded Warbler","House Finch","House Sparrow","Indigo Bunting","Mourning Dove","N. Rough-winged Swallow","Northern ""Yellow-shafted"" Flicker","Northern Bobwhite","Northern Cardinal","Northern Flicker","Northern Mockingbird","Northern Parula","Orchard Oriole","Ovenbird","Pine Warbler","Prairie Warbler","Prothonotary Warbler","Purple Martin","Red-bellied Woodpecker","Red-eyed Vireo","Red-headed Woodpecker","Red-winged Blackbird","Ring-billed Gull","Rock Pigeon","Ruby-thr Hummingbird","Ruby-throated Hummingbird","Scarlet Tanager","Spotted Sandpiper","Summer Tanager","Tree Swallow","Tufted Titmouse","White-breasted Nuthatch","White-eyed Vireo","White-throated Sparrow","Wood Thrush","Yellow-billed Cuckoo","Yellow-breasted Chat","Yellow-rumped (Myrtle) Warbler","Yellow-rumped Warbler","Yellow-throated Vireo","Yellow-throated Warbler"
1996,43,-129,-157,-23,-58,-39,-40,-24,-17,-16,-39,-55,-299,-13,35,-49,-83,-248,-17,-37,-65,-49,-19,11,-12,-91,-40,-53,-52,-76,-28,42,-360,-20,-1,-42,-13,0,-96,-9,74,-105,-15,-21,-30,-21,-5,-58,-5,-12,-12,-177,-36,-24,-82,-15,-95,5,-34,38,-78,7,16,-22,-36,24,-36,-146,-11,-8,-66,-53,-25,-5,-136,-54,-15,13
1997,-42,139,-32,25,-10,109,35,-2,55,-21,22,70,83,-38,-44,29,118,65,125,91,-69,-42,-183,23,5,-46,-51,-24,10,67,-18,-46,-21,3,6,11,-23,6,26,24,-150,-64,94,5,-13,-49,-10,-41,5,-14,-68,97,21,-15,27,-41,107,-15,-50,35,24,-12,7,43,21,-48,89,127,18,-6,-1,-32,-13,3,154,-68,19,-10
1998,13,43,259,-26,115,-104,15,37,-39,57,164,21,327,44,49,10,64,196,37,-5,80,0,133,-26,14,53,21,40,37,49,25,15,172,-5,14,39,55,0,-16,33,94,238,-110,7,28,165,3,92,7,24,81,96,6,-3,-59,66,75,-11,-7,-83,-16,22,-4,50,-32,56,-73,123,13,18,9,138,98,19,-141,194,0,57
1999,-14,-18,-84,4,-88,108,-24,-46,26,-21,-140,31,-431,20,-28,13,38,90,209,-144,31,82,-79,12,5,139,44,26,0,-45,7,-6,-85,1,3,-52,10,4,71,-42,8,-227,19,-11,-6,-5,0,19,22,10,3,61,4,17,-3,14,-38,11,8,19,-9,-10,-9,-64,32,-11,38,-78,-16,-9,182,-86,-34,-22,330,-240,-22,-20
2000,38,126,93,2,104,-115,-20,-9,-46,51,66,262,82,19,72,7,212,-85,-364,97,45,77,46,13,45,-22,9,-53,-35,84,18,56,44,-34,-8,7,16,42,87,93,154,289,3,1,-3,217,0,83,-12,-7,72,87,8,14,-7,44,244,-6,28,-8,25,-5,34,4,-21,39,-57,336,47,13,-222,117,19,63,-347,-13,11,-13
2001,-9,106,-59,-34,-2,83,4,-7,20,-18,-71,-255,-87,0,48,41,-104,103,347,-67,51,11,157,5,-32,78,-6,-4,40,16,-26,-36,-16,-17,22,23,-6,-28,-4,-55,11,-75,9,3,-3,100,12,-89,31,10,-21,5,3,-5,6,-32,-105,11,70,-109,-2,5,-28,4,10,63,46,-201,-8,-16,-1,-60,-52,-49,20,-18,16,-31
2002,18,51,333,60,70,84,54,47,15,-2,96,219,106,87,58,43,174,80,-124,122,161,-31,-36,75,49,52,-14,16,49,168,22,35,-41,27,11,39,30,50,199,21,9,70,17,12,-1,301,0,130,6,21,117,80,28,18,29,105,-86,29,-1,169,34,5,29,14,21,-22,-18,181,25,42,52,12,-10,11,22,246,-7,18
2003,16,-142,26,-42,4,-22,-18,-44,75,11,-43,-7,5,-65,13,-24,-173,-79,2,1674,-122,113,-112,-72,-25,-113,18,-32,-70,-59,-28,-20,-26,-5,5,-18,45,9,-222,8,-58,80,-18,-2,4,-200,1,-76,92,-18,-59,-254,-30,5,-1,74,87,-28,3,-79,-69,-9,3,34,3,67,17,15,27,-21,-20,33,27,14,72,-238,5,-9
2004,-12,-234,-352,9,-187,-144,6,25,-73,-46,-94,-186,-36,-77,-161,-39,-239,66,-32,-1846,-31,-78,16,37,-48,-79,-37,4,-12,-92,-22,-29,-120,-16,-34,-7,-107,-60,-85,-85,-113,-190,-20,-17,-19,-265,-8,-27,-126,-20,-73,-13,4,-15,-51,-192,-240,-17,22,-72,-7,-5,-8,-89,-38,-103,-12,-351,-61,-26,-1,-90,6,-52,-101,122,-4,-9
2005,-38,53,156,8,-52,22,56,26,45,-16,470,26,-87,14,117,-21,89,21,-72,16,105,149,-133,-32,11,52,30,-15,6,-15,6,3,146,0,46,37,48,25,2,43,-101,-115,7,14,7,221,-3,-47,48,14,90,32,-48,26,25,36,156,6,-66,549,133,-2,-8,60,38,35,-22,96,0,-4,328,-6,-31,-24,286,103,19,11
