COMMON NAME,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Yellow-bellied Sapsucker,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0
Red-headed Woodpecker,0,1,4,1,1,1,1,1,0,11,8,10,13,18,6,19,19,8,15,22,6,7,25,16,12,25,9,6,11,1,11,25,30,32,36,52,19,50,55,25,33,44,50,,79,86
Red-bellied Woodpecker,14,52,71,73,77,87,58,94,55,84,50,107,83,86,109,100,120,97,101,132,64,107,166,135,134,170,188,115,123,62,44,127,130,82,97,182,77,139,124,80,113,136,92,,129,170
Downy Woodpecker,5,15,17,19,16,33,29,23,16,21,9,25,32,43,22,26,36,28,39,29,26,35,54,54,51,54,48,31,35,27,16,26,33,30,24,53,17,38,26,32,22,25,21,,44,37
Red-cockaded Woodpecker,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Hairy Woodpecker,4,0,4,5,4,4,6,5,0,9,0,7,7,10,8,8,10,7,11,6,4,14,9,15,16,32,19,5,13,13,7,12,7,3,9,16,6,6,6,7,3,10,3,,13,14
Pileated Woodpecker,2,1,3,10,4,4,2,10,3,9,4,18,18,9,8,19,14,8,13,12,8,15,20,25,40,21,32,18,22,23,8,29,30,18,19,34,16,22,19,27,32,29,27,,30,39
Northern Flicker,7,28,28,50,24,34,30,21,15,18,15,32,15,31,24,30,32,25,33,28,18,21,21,21,33,33,34,26,23,18,7,15,17,11,14,29,5,14,16,15,10,14,12,,10,26
American Kestrel,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,1,1,2,0,0,0,0,0,1,1,1,0,0,1,0,1,0,2,,0,0
Merlin,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0
Peregrine Falcon,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,0,0
Olive-sided Flycatcher,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Eastern Wood-Pewee,23,8,5,40,32,60,50,44,19,57,25,44,29,42,10,57,46,35,48,64,29,27,55,51,58,32,71,19,54,10,25,34,38,38,65,79,6,53,80,28,61,79,68,,82,49
Yellow-bellied Flycatcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Acadian Flycatcher,14,5,2,34,24,39,31,46,25,32,3,28,20,26,17,36,33,42,18,21,14,11,22,21,21,22,28,12,18,13,7,21,25,6,9,42,5,31,27,19,23,43,26,,28,20
Alder Flycatcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Willow Flycatcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Least Flycatcher,1,0,0,0,0,0,1,1,0,0,0,0,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Eastern Phoebe,13,19,28,19,27,51,30,32,31,55,31,21,48,30,45,58,73,58,42,17,20,34,45,21,47,56,37,31,29,25,29,46,63,47,47,59,43,49,25,36,55,24,88,,47,47
Great Crested Flycatcher,5,6,19,47,26,38,38,30,21,39,42,31,34,44,20,43,42,58,61,69,49,83,110,92,88,110,154,57,92,49,66,126,133,67,97,174,67,95,117,50,122,106,121,,138,141
Eastern Kingbird,20,33,48,58,50,47,38,57,51,71,65,91,89,65,95,113,102,61,135,106,66,81,102,94,96,85,120,82,115,65,70,82,82,50,66,84,40,58,65,91,58,42,88,,77,82
White-eyed Vireo,30,50,83,72,49,74,57,66,36,40,26,46,54,68,57,58,51,52,35,34,24,57,28,46,43,53,49,32,19,14,29,55,24,32,21,51,23,51,54,55,68,86,62,,80,115
Yellow-throated Vireo,3,10,20,23,24,24,20,38,21,17,11,23,21,32,21,18,18,21,29,14,13,23,16,14,28,16,26,18,31,11,6,18,16,11,13,23,16,21,16,12,15,22,24,,21,17
Blue-headed Vireo,0,0,3,0,3,0,1,3,1,0,1,0,2,1,1,3,3,4,2,3,3,2,4,2,11,16,5,1,12,5,3,12,3,7,2,7,1,2,0,4,2,2,1,,6,3
Philadelphia Vireo,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Warbling Vireo,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,0
Red-eyed Vireo,95,194,331,277,220,300,272,308,242,290,185,281,227,302,257,246,237,291,299,268,223,326,357,388,367,280,356,204,276,135,130,239,274,183,209,204,125,251,248,133,244,221,247,,335,332
Loggerhead Shrike,5,2,1,8,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,,0,0
Blue Jay,62,251,115,316,138,137,145,269,71,100,94,131,133,152,241,112,178,154,128,156,94,227,177,198,142,166,154,127,398,82,59,132,125,113,107,160,77,132,124,75,105,90,122,,124,125
American Crow,43,132,148,148,141,170,133,207,136,187,155,200,188,266,247,235,305,276,272,210,312,286,286,311,369,442,366,258,256,265,234,239,345,263,261,358,326,264,319,274,359,226,263,,282,286
