"common_name","year","count"
"Mallard",2022,14
"Mallard",2023,44
"Mallard",2024,11
"American Black Duck",1952,0
"American Black Duck",1957,0
"American Black Duck",1958,2
"American Black Duck",1960,0
"American Black Duck",1961,0
"American Black Duck",1962,0
"American Black Duck",1963,0
"American Black Duck",1964,0
"American Black Duck",1965,0
"American Black Duck",1966,0
"American Black Duck",1967,0
"American Black Duck",1968,0
"American Black Duck",1969,0
"American Black Duck",1970,0
"American Black Duck",1971,2
"American Black Duck",1972,0
"American Black Duck",1973,0
"American Black Duck",1974,0
"American Black Duck",1975,0
"American Black Duck",1976,0
"American Black Duck",1977,0
"American Black Duck",1978,0
"American Black Duck",1979,1
"American Black Duck",1980,1
"American Black Duck",1981,2
"American Black Duck",1982,1
"American Black Duck",1983,10
"American Black Duck",1984,1
"American Black Duck",1985,2
"American Black Duck",1986,0
"American Black Duck",1987,1
"American Black Duck",1988,0
"American Black Duck",1989,1
"American Black Duck",1990,0
"American Black Duck",1991,2
"American Black Duck",1992,0
"American Black Duck",1993,0
"American Black Duck",1994,0
"American Black Duck",1995,3
"American Black Duck",1996,0
"American Black Duck",1997,0
"American Black Duck",1998,0
"American Black Duck",1999,0
"American Black Duck",2000,0
"American Black Duck",2001,0
"American Black Duck",2002,1
"American Black Duck",2003,0
"American Black Duck",2004,0
"American Black Duck",2005,0
"American Black Duck",2006,0
"American Black Duck",2007,1
"American Black Duck",2008,0
"American Black Duck",2009,0
"American Black Duck",2010,0
"American Black Duck",2011,0
"American Black Duck",2012,0
"American Black Duck",2013,0
"American Black Duck",2014,0
"American Black Duck",2015,0
"American Black Duck",2016,0
"American Black Duck",2017,0
"American Black Duck",2018,0
"American Black Duck",2019,0
"American Black Duck",2020,0
"American Black Duck",2021,0
"American Black Duck",2022,0
"American Black Duck",2023,0
"American Black Duck",2024,0
"Northern Pintail",1952,0
"Northern Pintail",1957,0
"Northern Pintail",1958,0
"Northern Pintail",1960,0
"Northern Pintail",1961,0
"Northern Pintail",1962,0
"Northern Pintail",1963,0
"Northern Pintail",1964,0
"Northern Pintail",1965,0
"Northern Pintail",1966,0
"Northern Pintail",1967,0
"Northern Pintail",1968,0
"Northern Pintail",1969,0
"Northern Pintail",1970,0
"Northern Pintail",1971,0
"Northern Pintail",1972,4
"Northern Pintail",1973,0
"Northern Pintail",1974,0
"Northern Pintail",1975,0
"Northern Pintail",1976,0
"Northern Pintail",1977,0
"Northern Pintail",1978,0
"Northern Pintail",1979,0
"Northern Pintail",1980,0
"Northern Pintail",1981,0
"Northern Pintail",1982,0
"Northern Pintail",1983,0
"Northern Pintail",1984,0
"Northern Pintail",1985,0
"Northern Pintail",1986,0
"Northern Pintail",1987,0
"Northern Pintail",1988,0
"Northern Pintail",1989,0
"Northern Pintail",1990,0
"Northern Pintail",1991,0
